 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =    7.478758 THz    46.990420 2PiTHz  249.464502 cm-1    30.929642 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821    -0.003692    0.000000   -0.006969  
      6.616854  2.788024 12.594077    -0.004045   -0.000000    0.007802  
      2.299255  0.929341 12.441442     0.003109    0.000000   -0.007418  
     11.201891  2.788024 12.594295     0.002561   -0.000000    0.007026  
     12.978330  0.929341 11.777452     0.040989    0.000000    0.038248  
      4.075984  2.788024 13.259029     0.044958   -0.000000   -0.042436  
      4.839461  0.929341 11.777088    -0.036644    0.000000    0.043668  
     13.741567  2.788024 13.259193    -0.032835   -0.000000   -0.039364  
      8.907040  0.929341 12.370505    -0.000642    0.000000    0.023536  
      0.005627  2.788024 12.664576    -0.001055   -0.000000   -0.020749  
     14.311903  2.788024 10.580802    -0.000804   -0.000000    0.004120  
      5.409563  0.929341 14.455386    -0.000948    0.000000   -0.004493  
     10.693180  0.929341 10.562509    -0.006748   -0.000000   -0.014384  
      1.790519  2.788024 14.473367    -0.007686    0.000000    0.015004  
      3.506921  2.788024 10.580402    -0.000058   -0.000000    0.002831  
     12.408767  0.929341 14.455686    -0.000025    0.000000   -0.002476  
      7.123465  0.929341 10.561065     0.006434   -0.000000   -0.014666  
     16.025723  2.788024 14.474552     0.005865    0.000000    0.012971  
      0.007149  0.929341 10.898066     0.000188    0.000000    0.004810  
      8.908990  2.788024 14.136629     0.000249   -0.000000   -0.005996  
 
   2 f  =    7.442271 THz    46.761167 2PiTHz  248.247434 cm-1    30.778745 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.005670    0.000000    0.007073  
      6.616854  2.788024 12.594077    -0.005352   -0.000000    0.006244  
      2.299255  0.929341 12.441442     0.003341    0.000000   -0.006019  
     11.201891  2.788024 12.594295    -0.003645   -0.000000   -0.006712  
     12.978330  0.929341 11.777452    -0.049206   -0.000000   -0.044206  
      4.075984  2.788024 13.259029     0.045385   -0.000000   -0.040480  
      4.839461  0.929341 11.777088    -0.032195    0.000000    0.042192  
     13.741567  2.788024 13.259193     0.035766    0.000000    0.046088  
      8.907040  0.929341 12.370505     0.003572   -0.000000   -0.000691  
      0.005627  2.788024 12.664576    -0.003517   -0.000000    0.001802  
     14.311903  2.788024 10.580802     0.000733    0.000000   -0.005080  
      5.409563  0.929341 14.455386    -0.000704    0.000000   -0.004710  
     10.693180  0.929341 10.562509     0.009535    0.000000    0.012777  
      1.790519  2.788024 14.473367    -0.008945    0.000000    0.011426  
      3.506921  2.788024 10.580402     0.000149   -0.000000    0.002211  
     12.408767  0.929341 14.455686    -0.000183    0.000000    0.002498  
      7.123465  0.929341 10.561065     0.007013    0.000000   -0.010495  
     16.025723  2.788024 14.474552    -0.007646    0.000000   -0.011972  
      0.007149  0.929341 10.898066    -0.000316    0.000000   -0.000300  
      8.908990  2.788024 14.136629     0.000603    0.000000    0.000462  
 
   3 f  =    7.203082 THz    45.258300 2PiTHz  240.268956 cm-1    29.789541 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.000000   -0.003417    0.000000  
      6.616854  2.788024 12.594077    -0.000000    0.005140    0.000000  
      2.299255  0.929341 12.441442     0.000000   -0.005141   -0.000000  
     11.201891  2.788024 12.594295    -0.000000    0.003419    0.000000  
     12.978330  0.929341 11.777452    -0.000000   -0.048561    0.000000  
      4.075984  2.788024 13.259029     0.000000    0.072761   -0.000000  
      4.839461  0.929341 11.777088     0.000000   -0.072915   -0.000000  
     13.741567  2.788024 13.259193     0.000000    0.048753   -0.000000  
      8.907040  0.929341 12.370505    -0.000000    0.000372    0.000000  
      0.005627  2.788024 12.664576    -0.000000   -0.000383   -0.000000  
     14.311903  2.788024 10.580802     0.000000    0.009993   -0.000000  
      5.409563  0.929341 14.455386    -0.000000   -0.015004    0.000000  
     10.693180  0.929341 10.562509    -0.000000   -0.000498   -0.000000  
      1.790519  2.788024 14.473367    -0.000000    0.000799    0.000000  
      3.506921  2.788024 10.580402     0.000000    0.015412    0.000000  
     12.408767  0.929341 14.455686     0.000000   -0.010293    0.000000  
      7.123465  0.929341 10.561065     0.000000   -0.000841   -0.000000  
     16.025723  2.788024 14.474552    -0.000000    0.000518   -0.000000  
      0.007149  0.929341 10.898066     0.000000   -0.000256   -0.000000  
      8.908990  2.788024 14.136629     0.000000    0.000246   -0.000000  
 
   4 f  =    7.193557 THz    45.198454 2PiTHz  239.951245 cm-1    29.750149 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821    -0.000000   -0.005191    0.000000  
      6.616854  2.788024 12.594077     0.000000   -0.003483   -0.000000  
      2.299255  0.929341 12.441442    -0.000000    0.003493    0.000000  
     11.201891  2.788024 12.594295    -0.000000    0.005211    0.000000  
     12.978330  0.929341 11.777452    -0.000000   -0.072619   -0.000000  
      4.075984  2.788024 13.259029     0.000000   -0.048543    0.000000  
      4.839461  0.929341 11.777088     0.000000    0.048678    0.000000  
     13.741567  2.788024 13.259193    -0.000000    0.072980   -0.000000  
      8.907040  0.929341 12.370505     0.000000    0.000067   -0.000000  
      0.005627  2.788024 12.664576    -0.000000   -0.000092   -0.000000  
     14.311903  2.788024 10.580802    -0.000000    0.015039    0.000000  
      5.409563  0.929341 14.455386     0.000000    0.010072    0.000000  
     10.693180  0.929341 10.562509    -0.000000   -0.000893    0.000000  
      1.790519  2.788024 14.473367     0.000000   -0.000633    0.000000  
      3.506921  2.788024 10.580402    -0.000000   -0.010340   -0.000000  
     12.408767  0.929341 14.455686     0.000000   -0.015480   -0.000000  
      7.123465  0.929341 10.561065    -0.000000    0.000672    0.000000  
     16.025723  2.788024 14.474552     0.000000    0.000944    0.000000  
