 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0007         3.8455         3.5002         0.0000         0.0000         0.0000         0.0000
         0.0013         7.7149         7.0205         0.0000         0.0000         0.0000         0.0000
         0.0020        11.6084        10.5611         0.0000         0.0000         0.0000         0.0000
         0.0027        15.5263        14.1221         0.0000         0.0000         0.0000         0.0000
         0.0033        19.4688        17.7038         0.0000         0.0000         0.0000         0.0000
         0.0040        23.4362        21.3064         0.0000         0.0000         0.0000         0.0000
         0.0047        27.4289        24.9302         0.0000         0.0000         0.0000         0.0000
         0.0053        31.4471        28.5752         0.0000         0.0000         0.0000         0.0000
         0.0060        35.4911        32.2419         0.0000         0.0000         0.0000         0.0000
         0.0067        39.5612        35.9303         0.0000         0.0000         0.0000         0.0000
         0.0073        43.6578        39.6408         0.0000         0.0000         0.0000         0.0000
         0.0080        47.7811        43.3735         0.0000         0.0000         0.0000         0.0000
         0.0087        51.9314        47.1287         0.0000         0.0000         0.0000         0.0000
         0.0093        56.1090        50.9066         0.0000         0.0000         0.0000         0.0000
         0.0100        60.3144        54.7076         0.0000         0.0000         0.0000         0.0000
         0.0107        64.5477        58.5317         0.0000         0.0000         0.0000         0.0000
         0.0113        68.8094        62.3794         0.0000         0.0000         0.0000         0.0000
         0.0120        73.0998        66.2508         0.0000         0.0000         0.0000         0.0000
         0.0127        77.4192        70.1463         0.0000         0.0000         0.0000         0.0000
         0.0133        81.7680        74.0660         0.0000         0.0000         0.0000         0.0000
         0.0140        86.1465        78.0102         0.0000         0.0000         0.0000         0.0000
         0.0147        90.5551        81.9793         0.0000         0.0000         0.0000         0.0000
         0.0153        94.9942        85.9735         0.0000         0.0000         0.0000         0.0000
         0.0160        99.4641        89.9930         0.0000         0.0000         0.0000         0.0000
         0.0167       103.9652        94.0383         0.0000         0.0000         0.0000         0.0000
         0.0173       108.4980        98.1095         0.0000         0.0000         0.0000         0.0000
         0.0180       113.0627       102.2070         0.0000         0.0000         0.0000         0.0000
         0.0187       117.6598       106.3310         0.0000         0.0000         0.0000         0.0000
         0.0193       122.2897       110.4819         0.0000         0.0000         0.0000         0.0000
         0.0200       126.9529       114.6600         0.0000         0.0000         0.0000         0.0000
         0.0207       131.6496       118.8656         0.0000         0.0000         0.0000         0.0000
         0.0213       136.3804       123.0990         0.0000         0.0000         0.0000         0.0000
         0.0220       141.1457       127.3606         0.0000         0.0000         0.0000         0.0000
         0.0227       145.9459       131.6506         0.0000         0.0000         0.0000         0.0000
         0.0233       150.7814       135.9695         0.0000         0.0000         0.0000         0.0000
         0.0240       155.6529       140.3175         0.0000         0.0000         0.0000         0.0000
         0.0247       160.5605       144.6951         0.0000         0.0000         0.0000         0.0000
         0.0253       165.5049       149.1025         0.0000         0.0000         0.0000         0.0000
         0.0260       170.4866       153.5402         0.0000         0.0000         0.0000         0.0000
         0.0267       175.5059       158.0085         0.0000         0.0000         0.0000         0.0000
         0.0273       180.5635       162.5077         0.0000         0.0000         0.0000         0.0000
         0.0280       185.6598       167.0383         0.0000         0.0000         0.0000         0.0000
         0.0287       190.7953       171.6007         0.0000         0.0000         0.0000         0.0000
         0.0293       195.9705       176.1951         0.0000         0.0000         0.0000         0.0000
         0.0300       201.1860       180.8221         0.0000         0.0000         0.0000         0.0000
         0.0307       206.4422       185.4821         0.0000         0.0000         0.0000         0.0000
         0.0313       211.7399       190.1754         0.0000         0.0000         0.0000         0.0000
         0.0320       217.0794       194.9025         0.0000         0.0000         0.0000         0.0000
         0.0327       222.4614       199.6638         0.0000         0.0000         0.0000         0.0000
         0.0333       227.8864       204.4599         0.0000         0.0000         0.0000         0.0000
         0.0340       233.3550       209.2908         0.0000         0.0000         0.0000         0.0000
         0.0347       238.8679       214.1574         0.0000         0.0000         0.0000         0.0000
         0.0353       244.4256       219.0600         0.0000         0.0000         0.0000         0.0000
         0.0360       250.0286       223.9991         0.0000         0.0000         0.0000         0.0000
         0.0367       255.6778       228.9751         0.0000         0.0000         0.0000         0.0000
         0.0373       261.3737       233.9885         0.0000         0.0000         0.0000         0.0000
         0.0380       267.1168       239.0398         0.0000         0.0000         0.0000         0.0000
         0.0387       272.9080       244.1295         0.0000         0.0000         0.0000         0.0000
         0.0393       278.7478       249.2583         0.0000         0.0000         0.0000         0.0000
         0.0400       284.6370       254.4264         0.0000         0.0000         0.0000         0.0000
         0.0407       290.5763       259.6345         0.0000         0.0000         0.0000         0.0000
         0.0413       296.5662       264.8832         0.0000         0.0000         0.0000         0.0000
         0.0420       302.6077       270.1728         0.0000         0.0000         0.0000         0.0000
         0.0427       308.7013       275.5041         0.0000         0.0000         0.0000         0.0000
         0.0433       314.8479       280.8777         0.0000         0.0000         0.0000         0.0000
         0.0440       321.0482       286.2939         0.0000         0.0000         0.0000         0.0000
         0.0447       327.3029       291.7535         0.0000         0.0000         0.0000         0.0000
         0.0453       333.6129       297.2571         0.0000         0.0000         0.0000         0.0000
         0.0460       339.9789       302.8053         0.0000         0.0000         0.0000         0.0000
         0.0467       346.4018       308.3985         0.0000         0.0000         0.0000         0.0000
         0.0473       352.8823       314.0377         0.0000         0.0000         0.0000         0.0000
         0.0480       359.4213       319.7233         0.0000         0.0000         0.0000         0.0000
         0.0487       366.0198       325.4560         0.0000         0.0000         0.0000         0.0000
         0.0493       372.6784       331.2367         0.0000         0.0000         0.0000         0.0000
         0.0500       379.3982       337.0656         0.0000         0.0000         0.0000         0.0000
         0.0507       386.1800       342.9439         0.0000         0.0000         0.0000         0.0000
         0.0513       393.0248       348.8719         0.0000         0.0000         0.0000         0.0000
         0.0520       399.9334       354.8506         0.0000         0.0000         0.0000         0.0000
         0.0527       406.9068       360.8805         0.0000         0.0000         0.0000         0.0000
         0.0533       413.9460       366.9626         0.0000         0.0000         0.0000         0.0000
         0.0540       421.0520       373.0974         0.0000         0.0000         0.0000         0.0000
         0.0547       428.2256       379.2859         0.0000         0.0000         0.0000         0.0000
         0.0553       435.4681       385.5289         0.0000         0.0000         0.0000         0.0000
         0.0560       442.7804       391.8270         0.0000         0.0000         0.0000         0.0000
         0.0567       450.1635       398.1811         0.0000         0.0000         0.0000         0.0000
         0.0573       457.6187       404.5922         0.0000         0.0000         0.0000         0.0000
         0.0580       465.1467       411.0610         0.0000         0.0000         0.0000         0.0000
         0.0587       472.7488       417.5882         0.0000         0.0000         0.0000         0.0000
         0.0593       480.4262       424.1750         0.0000         0.0000         0.0000         0.0000
         0.0600       488.1801       430.8222         0.0000         0.0000         0.0000         0.0000
         0.0607       496.0113       437.5306         0.0000         0.0000         0.0000         0.0000
         0.0613       503.9215       444.3013         0.0000         0.0000         0.0000         0.0000
         0.0620       511.9113       451.1351         0.0000         0.0000         0.0000         0.0000
         0.0627       519.9824       458.0332         0.0000         0.0000         0.0000         0.0000
         0.0633       528.1360       464.9963         0.0000         0.0000         0.0000         0.0000
         0.0640       536.3730       472.0256         0.0000         0.0000         0.0000         0.0000
         0.0647       544.6951       479.1221         0.0000         0.0000         0.0000         0.0000
         0.0653       553.1033       486.2868         0.0000         0.0000         0.0000         0.0000
         0.0660       561.5991       493.5209         0.0000         0.0000         0.0000         0.0000
         0.0667       570.1838       500.8252         0.0000         0.0000         0.0000         0.0000
         0.0673       578.8587       508.2011         0.0000         0.0000         0.0000         0.0000
         0.0680       587.6253       515.6496         0.0000         0.0000         0.0000         0.0000
         0.0687       596.4848       523.1719         0.0000         0.0000         0.0000         0.0000
         0.0693       605.4389       530.7693         0.0000         0.0000         0.0000         0.0000
         0.0700       614.4888       538.4427         0.0000         0.0000         0.0000         0.0000
         0.0707       623.6362       546.1934         0.0000         0.0000         0.0000         0.0000
         0.0713       632.8824       554.0228         0.0000         0.0000         0.0000         0.0000
         0.0720       642.2290       561.9321         0.0000         0.0000         0.0000         0.0000
         0.0727       651.6775       569.9225         0.0000         0.0000         0.0000         0.0000
         0.0733       661.2295       577.9955         0.0000         0.0000         0.0000         0.0000
         0.0740       670.8864       586.1523         0.0000         0.0000         0.0000         0.0000
         0.0747       680.6500       594.3942         0.0000         0.0000         0.0000         0.0000
         0.0753       690.5218       602.7228         0.0000         0.0000         0.0000         0.0000
         0.0760       700.5036       611.1394         0.0000         0.0000         0.0000         0.0000
         0.0767       710.5968       619.6453         0.0000         0.0000         0.0000         0.0000
         0.0773       720.8032       628.2421         0.0000         0.0000         0.0000         0.0000
         0.0780       731.1246       636.9315         0.0000         0.0000         0.0000         0.0000
         0.0787       741.5625       645.7147         0.0000         0.0000         0.0000         0.0000
         0.0793       752.1189       654.5934         0.0000         0.0000         0.0000         0.0000
         0.0800       762.7951       663.5691         0.0000         0.0000         0.0000         0.0000
         0.0807       773.5934       672.6436         0.0000         0.0000         0.0000         0.0000
         0.0813       784.5153       681.8184         0.0000         0.0000         0.0000         0.0000
         0.0820       795.5624       691.0952         0.0000         0.0000         0.0000         0.0000
         0.0827       806.7370       700.4756         0.0000         0.0000         0.0000         0.0000
         0.0833       818.0406       709.9615         0.0000         0.0000         0.0000         0.0000
         0.0840       829.4751       719.5546         0.0000         0.0000         0.0000         0.0000
         0.0847       841.0423       729.2565         0.0000         0.0000         0.0000         0.0000
         0.0853       852.7440       739.0694         0.0000         0.0000         0.0000         0.0000
         0.0860       864.5824       748.9950         0.0000         0.0000         0.0000         0.0000
         0.0867       876.5589       759.0349         0.0000         0.0000         0.0000         0.0000
         0.0873       888.6759       769.1914         0.0000         0.0000         0.0000         0.0000
         0.0880       900.9350       779.4663         0.0000         0.0000         0.0000         0.0000
         0.0887       913.3381       789.8617         0.0000         0.0000         0.0000         0.0000
         0.0893       925.8872       800.3794         0.0000         0.0000         0.0000         0.0000
         0.0900       938.5842       811.0216         0.0000         0.0000         0.0000         0.0000
         0.0907       951.4309       821.7904         0.0000         0.0000         0.0000         0.0000
         0.0913       964.4293       832.6878         0.0000         0.0000         0.0000         0.0000
         0.0920       977.5812       843.7160         0.0000         0.0000         0.0000         0.0000
         0.0927       990.8889       854.8774         0.0000         0.0000         0.0000         0.0000
         0.0933      1004.3537       866.1740         0.0000         0.0000         0.0000         0.0000
         0.0940      1017.9778       877.6080         0.0000         0.0000         0.0000         0.0000
         0.0947      1031.7632       889.1820         0.0000         0.0000         0.0000         0.0000
         0.0953      1045.7115       900.8979         0.0000         0.0000         0.0000         0.0000
         0.0960      1059.8247       912.7585         0.0000         0.0000         0.0000         0.0000
         0.0967      1074.1047       924.7660         0.0000         0.0000         0.0000         0.0000
         0.0973      1088.5531       936.9227         0.0000         0.0000         0.0000         0.0000
         0.0980      1103.1719       949.2310         0.0000         0.0000         0.0000         0.0000
         0.0987      1117.9628       961.6940         0.0000         0.0000         0.0000         0.0000
         0.0993      1132.9274       974.3134         0.0000         0.0000         0.0000         0.0000
         0.1000      1148.0678       987.0924         0.0000         0.0000         0.0000         0.0000
         0.1007      1163.3855      1000.0333         0.0000         0.0000         0.0000         0.0000
         0.1013      1178.8820      1013.1388         0.0000         0.0000         0.0000         0.0000
         0.1020      1194.5593      1026.4116         0.0000         0.0000         0.0000         0.0000
