 #  energy  real  imag
  0.000000000000000E+000   7.830720      0.3178191    
  6.666666666666666E-004   7.834624      0.3188796    
  1.333333333333333E-003   7.838539      0.3199481    
  2.000000000000000E-003   7.842465      0.3210248    
  2.666666666666667E-003   7.846402      0.3221098    
  3.333333333333334E-003   7.850350      0.3232031    
  4.000000000000000E-003   7.854310      0.3243049    
  4.666666666666667E-003   7.858281      0.3254152    
  5.333333333333333E-003   7.862264      0.3265342    
  6.000000000000000E-003   7.866258      0.3276619    
  6.666666666666667E-003   7.870263      0.3287984    
  7.333333333333333E-003   7.874280      0.3299439    
  8.000000000000000E-003   7.878308      0.3310985    
  8.666666666666666E-003   7.882349      0.3322622    
  9.333333333333334E-003   7.886401      0.3334351    
  1.000000000000000E-002   7.890465      0.3346175    
  1.066666666666667E-002   7.894541      0.3358094    
  1.133333333333333E-002   7.898628      0.3370108    
  1.200000000000000E-002   7.902728      0.3382220    
  1.266666666666667E-002   7.906840      0.3394430    
  1.333333333333333E-002   7.910964      0.3406739    
  1.400000000000000E-002   7.915100      0.3419150    
  1.466666666666667E-002   7.919249      0.3431662    
  1.533333333333333E-002   7.923409      0.3444278    
  1.600000000000000E-002   7.927583      0.3456998    
  1.666666666666667E-002   7.931768      0.3469823    
  1.733333333333333E-002   7.935967      0.3482756    
  1.800000000000000E-002   7.940178      0.3495797    
  1.866666666666667E-002   7.944401      0.3508948    
  1.933333333333333E-002   7.948637      0.3522210    
  2.000000000000000E-002   7.952887      0.3535585    
  2.066666666666667E-002   7.957148      0.3549073    
  2.133333333333333E-002   7.961423      0.3562676    
  2.200000000000000E-002   7.965711      0.3576397    
  2.266666666666667E-002   7.970012      0.3590235    
  2.333333333333333E-002   7.974326      0.3604193    
  2.400000000000000E-002   7.978652      0.3618273    
  2.466666666666667E-002   7.982993      0.3632475    
  2.533333333333333E-002   7.987347      0.3646801    
  2.600000000000000E-002   7.991714      0.3661253    
  2.666666666666667E-002   7.996094      0.3675833    
  2.733333333333333E-002   8.000488      0.3690542    
  2.800000000000000E-002   8.004895      0.3705382    
  2.866666666666667E-002   8.009316      0.3720354    
  2.933333333333333E-002   8.013751      0.3735461    
  3.000000000000000E-002   8.018200      0.3750703    
  3.066666666666666E-002   8.022662      0.3766083    
  3.133333333333333E-002   8.027138      0.3781603    
  3.200000000000000E-002   8.031628      0.3797264    
  3.266666666666666E-002   8.036132      0.3813068    
  3.333333333333333E-002   8.040650      0.3829018    
  3.400000000000000E-002   8.045182      0.3845114    
  3.466666666666667E-002   8.049728      0.3861359    
  3.533333333333333E-002   8.054289      0.3877756    
  3.600000000000000E-002   8.058864      0.3894305    
  3.666666666666667E-002   8.063453      0.3911009    
  3.733333333333334E-002   8.068056      0.3927871    
  3.800000000000000E-002   8.072675      0.3944891    
  3.866666666666667E-002   8.077307      0.3962073    
  3.933333333333333E-002   8.081954      0.3979418    
  4.000000000000000E-002   8.086616      0.3996929    
  4.066666666666666E-002   8.091291      0.4014608    
  4.133333333333333E-002   8.095983      0.4032457    
  4.200000000000000E-002   8.100688      0.4050479    
  4.266666666666667E-002   8.105408      0.4068675    
  4.333333333333333E-002   8.110144      0.4087049    
  4.400000000000000E-002   8.114893      0.4105603    
  4.466666666666667E-002   8.119658      0.4124338    
  4.533333333333334E-002   8.124438      0.4143258    
  4.600000000000000E-002   8.129232      0.4162365    
  4.666666666666667E-002   8.134043      0.4181663    
  4.733333333333333E-002   8.138867      0.4201152    
  4.800000000000000E-002   8.143707      0.4220836    
  4.866666666666666E-002   8.148562      0.4240719    
  4.933333333333333E-002   8.153433      0.4260801    
  5.000000000000000E-002   8.158318      0.4281087    
  5.066666666666667E-002   8.163218      0.4301579    
  5.133333333333333E-002   8.168134      0.4322280    
  5.200000000000000E-002   8.173064      0.4343192    
  5.266666666666667E-002   8.178011      0.4364319    
  5.333333333333334E-002   8.182972      0.4385664    
  5.400000000000000E-002   8.187948      0.4407230    
  5.466666666666667E-002   8.192941      0.4429019    
  5.533333333333333E-002   8.197948      0.4451036    
  5.600000000000000E-002   8.202970      0.4473282    
  5.666666666666666E-002   8.208007      0.4495762    
  5.733333333333333E-002   8.213059      0.4518479    
  5.800000000000000E-002   8.218127      0.4541435    
  5.866666666666667E-002   8.223210      0.4564634    
  5.933333333333334E-002   8.228309      0.4588080    
  6.000000000000000E-002   8.233421      0.4611776    
  6.066666666666667E-002   8.238550      0.4635725    
  6.133333333333333E-002   8.243693      0.4659932    
  6.200000000000000E-002   8.248852      0.4684398    
  6.266666666666666E-002   8.254025      0.4709129    
  6.333333333333334E-002   8.259213      0.4734128    
  6.400000000000000E-002   8.264417      0.4759398    
  6.466666666666666E-002   8.269634      0.4784943    
  6.533333333333333E-002   8.274867      0.4810767    
  6.600000000000000E-002   8.280114      0.4836874    
  6.666666666666667E-002   8.285376      0.4863268    
  6.733333333333333E-002   8.290652      0.4889951    
  6.800000000000000E-002   8.295942      0.4916930    
  6.866666666666667E-002   8.301247      0.4944206    
  6.933333333333333E-002   8.306565      0.4971785    
  7.000000000000001E-002   8.311898      0.4999670    
  7.066666666666667E-002   8.317245      0.5027866    
  7.133333333333333E-002   8.322605      0.5056376    
  7.199999999999999E-002   8.327979      0.5085205    
  7.266666666666667E-002   8.333366      0.5114357    
  7.333333333333333E-002   8.338767      0.5143836    
  7.400000000000000E-002   8.344181      0.5173645    
  7.466666666666667E-002   8.349607      0.5203790    
  7.533333333333334E-002   8.355047      0.5234275    
  7.600000000000000E-002   8.360498      0.5265104    
  7.666666666666666E-002   8.365963      0.5296281    
  7.733333333333334E-002   8.371439      0.5327810    
