 #  energy  real  imag
  0.000000000000000E+000   5.437560      0.2411229    
  6.666666666666666E-004   5.440547      0.2418778    
  1.333333333333333E-003   5.443542      0.2426379    
  2.000000000000000E-003   5.446546      0.2434033    
  2.666666666666667E-003   5.449557      0.2441741    
  3.333333333333334E-003   5.452577      0.2449503    
  4.000000000000000E-003   5.455605      0.2457319    
  4.666666666666667E-003   5.458642      0.2465191    
  5.333333333333333E-003   5.461686      0.2473119    
  6.000000000000000E-003   5.464739      0.2481103    
  6.666666666666667E-003   5.467801      0.2489145    
  7.333333333333333E-003   5.470871      0.2497244    
  8.000000000000000E-003   5.473949      0.2505402    
  8.666666666666666E-003   5.477036      0.2513619    
  9.333333333333334E-003   5.480133      0.2521896    
  1.000000000000000E-002   5.483237      0.2530234    
  1.066666666666667E-002   5.486350      0.2538632    
  1.133333333333333E-002   5.489471      0.2547093    
  1.200000000000000E-002   5.492602      0.2555617    
  1.266666666666667E-002   5.495741      0.2564204    
  1.333333333333333E-002   5.498889      0.2572855    
  1.400000000000000E-002   5.502046      0.2581572    
  1.466666666666667E-002   5.505212      0.2590354    
  1.533333333333333E-002   5.508387      0.2599202    
  1.600000000000000E-002   5.511571      0.2608118    
  1.666666666666667E-002   5.514764      0.2617103    
  1.733333333333333E-002   5.517966      0.2626156    
  1.800000000000000E-002   5.521178      0.2635279    
  1.866666666666667E-002   5.524398      0.2644472    
  1.933333333333333E-002   5.527628      0.2653737    
  2.000000000000000E-002   5.530867      0.2663075    
  2.066666666666667E-002   5.534115      0.2672486    
  2.133333333333333E-002   5.537373      0.2681971    
  2.200000000000000E-002   5.540640      0.2691531    
  2.266666666666667E-002   5.543917      0.2701167    
  2.333333333333333E-002   5.547203      0.2710880    
  2.400000000000000E-002   5.550499      0.2720672    
  2.466666666666667E-002   5.553804      0.2730542    
  2.533333333333333E-002   5.557119      0.2740492    
  2.600000000000000E-002   5.560444      0.2750523    
  2.666666666666667E-002   5.563778      0.2760636    
  2.733333333333333E-002   5.567122      0.2770832    
  2.800000000000000E-002   5.570477      0.2781112    
  2.866666666666667E-002   5.573841      0.2791478    
  2.933333333333333E-002   5.577214      0.2801929    
  3.000000000000000E-002   5.580598      0.2812468    
  3.066666666666666E-002   5.583992      0.2823096    
  3.133333333333333E-002   5.587396      0.2833813    
  3.200000000000000E-002   5.590810      0.2844621    
  3.266666666666666E-002   5.594234      0.2855521    
  3.333333333333333E-002   5.597668      0.2866515    
  3.400000000000000E-002   5.601113      0.2877602    
  3.466666666666667E-002   5.604568      0.2888786    
  3.533333333333333E-002   5.608033      0.2900066    
  3.600000000000000E-002   5.611508      0.2911445    
  3.666666666666667E-002   5.614994      0.2922924    
  3.733333333333334E-002   5.618490      0.2934503    
  3.800000000000000E-002   5.621997      0.2946185    
  3.866666666666667E-002   5.625514      0.2957970    
  3.933333333333333E-002   5.629042      0.2969861    
  4.000000000000000E-002   5.632580      0.2981858    
  4.066666666666666E-002   5.636129      0.2993963    
  4.133333333333333E-002   5.639689      0.3006178    
  4.200000000000000E-002   5.643260      0.3018503    
  4.266666666666667E-002   5.646841      0.3030941    
  4.333333333333333E-002   5.650433      0.3043494    
  4.400000000000000E-002   5.654036      0.3056161    
  4.466666666666667E-002   5.657650      0.3068946    
  4.533333333333334E-002   5.661275      0.3081850    
  4.600000000000000E-002   5.664910      0.3094875    
  4.666666666666667E-002   5.668557      0.3108021    
  4.733333333333333E-002   5.672215      0.3121292    
  4.800000000000000E-002   5.675884      0.3134688    
  4.866666666666666E-002   5.679564      0.3148212    
  4.933333333333333E-002   5.683254      0.3161866    
  5.000000000000000E-002   5.686956      0.3175650    
  5.066666666666667E-002   5.690670      0.3189568    
  5.133333333333333E-002   5.694394      0.3203620    
  5.200000000000000E-002   5.698130      0.3217810    
  5.266666666666667E-002   5.701877      0.3232138    
  5.333333333333334E-002   5.705635      0.3246607    
  5.400000000000000E-002   5.709405      0.3261219    
  5.466666666666667E-002   5.713186      0.3275976    
  5.533333333333333E-002   5.716978      0.3290881    
  5.600000000000000E-002   5.720781      0.3305934    
  5.666666666666666E-002   5.724597      0.3321139    
  5.733333333333333E-002   5.728423      0.3336498    
  5.800000000000000E-002   5.732260      0.3352013    
  5.866666666666667E-002   5.736110      0.3367686    
  5.933333333333334E-002   5.739970      0.3383519    
  6.000000000000000E-002   5.743842      0.3399516    
  6.066666666666667E-002   5.747725      0.3415678    
  6.133333333333333E-002   5.751620      0.3432008    
  6.200000000000000E-002   5.755527      0.3448508    
  6.266666666666666E-002   5.759444      0.3465182    
  6.333333333333334E-002   5.763373      0.3482030    
  6.400000000000000E-002   5.767314      0.3499057    
  6.466666666666666E-002   5.771266      0.3516265    
  6.533333333333333E-002   5.775229      0.3533657    
  6.600000000000000E-002   5.779204      0.3551235    
  6.666666666666667E-002   5.783190      0.3569002    
  6.733333333333333E-002   5.787187      0.3586961    
  6.800000000000000E-002   5.791196      0.3605115    
  6.866666666666667E-002   5.795216      0.3623467    
  6.933333333333333E-002   5.799247      0.3642021    
  7.000000000000001E-002   5.803289      0.3660778    
  7.066666666666667E-002   5.807343      0.3679742    
  7.133333333333333E-002   5.811407      0.3698916    
  7.199999999999999E-002   5.815482      0.3718304    
  7.266666666666667E-002   5.819569      0.3737909    
  7.333333333333333E-002   5.823666      0.3757734    
  7.400000000000000E-002   5.827775      0.3777783    
  7.466666666666667E-002   5.831893      0.3798058    
  7.533333333333334E-002   5.836023      0.3818564    
  7.600000000000000E-002   5.840163      0.3839304    
  7.666666666666666E-002   5.844314      0.3860281    
  7.733333333333334E-002   5.848475      0.3881499    
  7.800000000000000E-002   5.852647      0.3902963    
  7.866666666666666E-002   5.856829      0.3924675    
  7.933333333333334E-002   5.861021      0.3946639    
  8.000000000000000E-002   5.865222      0.3968859    
  8.066666666666666E-002   5.869434      0.3991340    
  8.133333333333333E-002   5.873655      0.4014085    
  8.200000000000000E-002   5.877886      0.4037099    
  8.266666666666667E-002   5.882126      0.4060384    
  8.333333333333333E-002   5.886375      0.4083946    
  8.400000000000001E-002   5.890634      0.4107789    
  8.466666666666667E-002   5.894901      0.4131916    
  8.533333333333333E-002   5.899177      0.4156333    
  8.599999999999999E-002   5.903461      0.4181044    
  8.666666666666667E-002   5.907754      0.4206052    
  8.733333333333333E-002   5.912055      0.4231363    
  8.799999999999999E-002   5.916363      0.4256981    
  8.866666666666667E-002   5.920679      0.4282911    
  8.933333333333333E-002   5.925002      0.4309157    
  9.000000000000000E-002   5.929332      0.4335724    
  9.066666666666667E-002   5.933669      0.4362617    
  9.133333333333334E-002   5.938013      0.4389840    
  9.200000000000000E-002   5.942362      0.4417398    
  9.266666666666666E-002   5.946717      0.4445297    
  9.333333333333334E-002   5.951078      0.4473541    
  9.400000000000000E-002   5.955444      0.4502135    
  9.466666666666666E-002   5.959815      0.4531085    
  9.533333333333334E-002   5.964190      0.4560394    
  9.600000000000000E-002   5.968568      0.4590069    
  9.666666666666666E-002   5.972951      0.4620115    
  9.733333333333333E-002   5.977336      0.4650536    
  9.800000000000000E-002   5.981725      0.4681337    
  9.866666666666667E-002   5.986115      0.4712526    
  9.933333333333333E-002   5.990508      0.4744105    
  0.100000000000000        5.994901      0.4776081    
  0.100666666666667        5.999295      0.4808459    
  0.101333333333333        6.003689      0.4841244    
  0.102000000000000        6.008083      0.4874442    
  0.102666666666667        6.012476      0.4908058    
  0.103333333333333        6.016867      0.4942097    
  0.104000000000000        6.021256      0.4976566    
  0.104666666666667        6.025642      0.5011467    
  0.105333333333333        6.030025      0.5046809    
  0.106000000000000        6.034403      0.5082595    
  0.106666666666667        6.038776      0.5118831    
  0.107333333333333        6.043143      0.5155523    
  0.108000000000000        6.047504      0.5192676    
  0.108666666666667        6.051858      0.5230294    
  0.109333333333333        6.056203      0.5268383    
  0.110000000000000        6.060540      0.5306948    
  0.110666666666667        6.064867      0.5345995    
  0.111333333333333        6.069182      0.5385529    
  0.112000000000000        6.073487      0.5425553    
  0.112666666666667        6.077778      0.5466074    
  0.113333333333333        6.082056      0.5507096    
  0.114000000000000        6.086318      0.5548623    
  0.114666666666667        6.090566      0.5590661    
  0.115333333333333        6.094796      0.5633214    
  0.116000000000000        6.099008      0.5676286    
  0.116666666666667        6.103200      0.5719881    
  0.117333333333333        6.107373      0.5764003    
  0.118000000000000        6.111523      0.5808657    
  0.118666666666667        6.115651      0.5853846    
  0.119333333333333        6.119754      0.5899574    
  0.120000000000000        6.123831      0.5945843    
  0.120666666666667        6.127882      0.5992657    
  0.121333333333333        6.131904      0.6040019    
  0.122000000000000        6.135896      0.6087930    
  0.122666666666667        6.139856      0.6136395    
  0.123333333333333        6.143783      0.6185414    
  0.124000000000000        6.147676      0.6234989    
  0.124666666666667        6.151532      0.6285121    
  0.125333333333333        6.155350      0.6335811    
  0.126000000000000        6.159128      0.6387060    
  0.126666666666667        6.162865      0.6438868    
  0.127333333333333        6.166558      0.6491234    
  0.128000000000000        6.170206      0.6544158    
  0.128666666666667        6.173807      0.6597638    
  0.129333333333333        6.177358      0.6651672    
  0.130000000000000        6.180859      0.6706257    
  0.130666666666667        6.184306      0.6761391    
  0.131333333333333        6.187697      0.6817069    
  0.132000000000000        6.191032      0.6873287    
  0.132666666666667        6.194306      0.6930040    
  0.133333333333333        6.197519      0.6987321    
  0.134000000000000        6.200668      0.7045124    
  0.134666666666667        6.203750      0.7103440    
  0.135333333333333        6.206764      0.7162262    
  0.136000000000000        6.209706      0.7221578    
  0.136666666666667        6.212575      0.7281381    
  0.137333333333333        6.215368      0.7341656    
  0.138000000000000        6.218083      0.7402391    
  0.138666666666667        6.220717      0.7463574    
  0.139333333333333        6.223269      0.7525188    
  0.140000000000000        6.225734      0.7587216    
  0.140666666666667        6.228111      0.7649643    
  0.141333333333333        6.230398      0.7712449    
  0.142000000000000        6.232592      0.7775613    
  0.142666666666667        6.234690      0.7839115    
  0.143333333333333        6.236691      0.7902931    
  0.144000000000000        6.238591      0.7967037    
  0.144666666666667        6.240388      0.8031407    
  0.145333333333333        6.242082      0.8096014    
  0.146000000000000        6.243667      0.8160830    
  0.146666666666667        6.245144      0.8225822    
  0.147333333333333        6.246509      0.8290961    
  0.148000000000000        6.247761      0.8356214    
  0.148666666666667        6.248897      0.8421543    
  0.149333333333333        6.249916      0.8486913    
  0.150000000000000        6.250817      0.8552288    
  0.150666666666667        6.251596      0.8617626    
  0.151333333333333        6.252254      0.8682888    
  0.152000000000000        6.252789      0.8748031    
  0.152666666666667        6.253200      0.8813012    
  0.153333333333333        6.253485      0.8877785    
  0.154000000000000        6.253644      0.8942305    
  0.154666666666667        6.253676      0.9006525    
  0.155333333333333        6.253581      0.9070395    
  0.156000000000000        6.253359      0.9133868    
  0.156666666666667        6.253009      0.9196892    
  0.157333333333333        6.252532      0.9259416    
  0.158000000000000        6.251929      0.9321390    
  0.158666666666667        6.251200      0.9382760    
  0.159333333333333        6.250346      0.9443474    
  0.160000000000000        6.249369      0.9503480    
  0.160666666666667        6.248269      0.9562725    
  0.161333333333333        6.247049      0.9621155    
  0.162000000000000        6.245711      0.9678718    
  0.162666666666667        6.244256      0.9735363    
  0.163333333333333        6.242689      0.9791036    
  0.164000000000000        6.241011      0.9845688    
  0.164666666666667        6.239225      0.9899267    
  0.165333333333333        6.237336      0.9951726    
  0.166000000000000        6.235347       1.000302    
  0.166666666666667        6.233262       1.005309    
  0.167333333333333        6.231084       1.010191    
  0.168000000000000        6.228819       1.014942    
  0.168666666666667        6.226471       1.019559    
  0.169333333333333        6.224046       1.024038    
  0.170000000000000        6.221547       1.028375    
  0.170666666666667        6.218981       1.032566    
  0.171333333333333        6.216354       1.036609    
  0.172000000000000        6.213670       1.040501    
  0.172666666666667        6.210936       1.044238    
  0.173333333333333        6.208158       1.047819    
  0.174000000000000        6.205341       1.051242    
  0.174666666666667        6.202493       1.054505    
  0.175333333333333        6.199619       1.057606    
  0.176000000000000        6.196726       1.060544    
  0.176666666666667        6.193820       1.063318    
  0.177333333333333        6.190908       1.065929    
  0.178000000000000        6.187996       1.068375    
  0.178666666666667        6.185091       1.070657    
  0.179333333333333        6.182199       1.072775    
  0.180000000000000        6.179326       1.074730    
  0.180666666666667        6.176479       1.076523    
  0.181333333333333        6.173665       1.078156    
  0.182000000000000        6.170888       1.079629    
  0.182666666666667        6.168156       1.080945    
  0.183333333333333        6.165473       1.082107    
  0.184000000000000        6.162847       1.083115    
  0.184666666666667        6.160282       1.083974    
  0.185333333333333        6.157784       1.084687    
  0.186000000000000        6.155359       1.085255    
  0.186666666666667        6.153010       1.085683    
  0.187333333333333        6.150744       1.085974    
  0.188000000000000        6.148565       1.086132    
  0.188666666666667        6.146477       1.086161    
  0.189333333333333        6.144485       1.086065    
  0.190000000000000        6.142591       1.085848    
  0.190666666666667        6.140802       1.085514    
  0.191333333333333        6.139119       1.085068    
  0.192000000000000        6.137546       1.084515    
  0.192666666666667        6.136086       1.083859    
  0.193333333333333        6.134743       1.083105    
  0.194000000000000        6.133518       1.082257    
  0.194666666666667        6.132415       1.081321    
  0.195333333333333        6.131434       1.080301    
  0.196000000000000        6.130579       1.079203    
  0.196666666666667        6.129850       1.078030    
  0.197333333333333        6.129250       1.076789    
  0.198000000000000        6.128779       1.075484    
  0.198666666666667        6.128438       1.074119    
  0.199333333333333        6.128229       1.072701    
  0.200000000000000        6.128151       1.071233    
  0.200666666666667        6.128206       1.069720    
  0.201333333333333        6.128393       1.068167    
  0.202000000000000        6.128713       1.066579    
  0.202666666666667        6.129164       1.064960    
  0.203333333333333        6.129748       1.063314    
  0.204000000000000        6.130463       1.061647    
  0.204666666666667        6.131308       1.059962    
  0.205333333333333        6.132283       1.058263    
  0.206000000000000        6.133388       1.056555    
  0.206666666666667        6.134619       1.054842    
  0.207333333333333        6.135977       1.053127    
  0.208000000000000        6.137460       1.051414    
  0.208666666666667        6.139066       1.049707    
  0.209333333333333        6.140795       1.048009    
  0.210000000000000        6.142643       1.046324    
  0.210666666666667        6.144610       1.044654    
  0.211333333333333        6.146693       1.043004    
  0.212000000000000        6.148891       1.041375    
  0.212666666666667        6.151201       1.039770    
