 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0052         0.0081         0.0000            NaN            NaN            NaN
         0.0007         0.0052         0.0082         0.0000            NaN            NaN            NaN
         0.0013         0.0052         0.0082         0.0000            NaN            NaN            NaN
         0.0020         0.0052         0.0082         0.0000            NaN            NaN            NaN
         0.0027         0.0052         0.0082         0.0000            NaN            NaN            NaN
         0.0033         0.0052         0.0082         0.0000            NaN            NaN            NaN
         0.0040         0.0052         0.0082         0.0000            NaN            NaN            NaN
         0.0047         0.0053         0.0083         0.0000            NaN            NaN            NaN
         0.0053         0.0053         0.0083         0.0000            NaN            NaN            NaN
         0.0060         0.0053         0.0083         0.0000            NaN            NaN            NaN
         0.0067         0.0053         0.0083         0.0000            NaN            NaN            NaN
         0.0073         0.0053         0.0083         0.0000            NaN            NaN            NaN
         0.0080         0.0053         0.0083         0.0000            NaN            NaN            NaN
         0.0087         0.0053         0.0084         0.0000            NaN            NaN            NaN
         0.0093         0.0054         0.0084         0.0000            NaN            NaN            NaN
         0.0100         0.0054         0.0084         0.0000            NaN            NaN            NaN
         0.0107         0.0054         0.0084         0.0000            NaN            NaN            NaN
         0.0113         0.0054         0.0084         0.0000            NaN            NaN            NaN
         0.0120         0.0054         0.0085         0.0000            NaN            NaN            NaN
         0.0127         0.0054         0.0085         0.0000            NaN            NaN            NaN
         0.0133         0.0054         0.0085         0.0000            NaN            NaN            NaN
         0.0140         0.0054         0.0085         0.0000            NaN            NaN            NaN
         0.0147         0.0055         0.0085         0.0000            NaN            NaN            NaN
         0.0153         0.0055         0.0085         0.0000            NaN            NaN            NaN
         0.0160         0.0055         0.0086         0.0000            NaN            NaN            NaN
         0.0167         0.0055         0.0086         0.0000            NaN            NaN            NaN
         0.0173         0.0055         0.0086         0.0000            NaN            NaN            NaN
         0.0180         0.0055         0.0086         0.0000            NaN            NaN            NaN
         0.0187         0.0055         0.0086         0.0000            NaN            NaN            NaN
         0.0193         0.0056         0.0087         0.0000            NaN            NaN            NaN
         0.0200         0.0056         0.0087         0.0000            NaN            NaN            NaN
         0.0207         0.0056         0.0087         0.0000            NaN            NaN            NaN
         0.0213         0.0056         0.0087         0.0000            NaN            NaN            NaN
         0.0220         0.0056         0.0087         0.0000            NaN            NaN            NaN
         0.0227         0.0056         0.0088         0.0000            NaN            NaN            NaN
         0.0233         0.0057         0.0088         0.0000            NaN            NaN            NaN
         0.0240         0.0057         0.0088         0.0000            NaN            NaN            NaN
         0.0247         0.0057         0.0088         0.0000            NaN            NaN            NaN
         0.0253         0.0057         0.0089         0.0000            NaN            NaN            NaN
         0.0260         0.0057         0.0089         0.0000            NaN            NaN            NaN
         0.0267         0.0057         0.0089         0.0000            NaN            NaN            NaN
         0.0273         0.0058         0.0089         0.0000            NaN            NaN            NaN
         0.0280         0.0058         0.0089         0.0000            NaN            NaN            NaN
         0.0287         0.0058         0.0090         0.0000            NaN            NaN            NaN
         0.0293         0.0058         0.0090         0.0000            NaN            NaN            NaN
         0.0300         0.0058         0.0090         0.0000            NaN            NaN            NaN
         0.0307         0.0058         0.0090         0.0000            NaN            NaN            NaN
         0.0313         0.0059         0.0091         0.0000            NaN            NaN            NaN
         0.0320         0.0059         0.0091         0.0000            NaN            NaN            NaN
         0.0327         0.0059         0.0091         0.0000            NaN            NaN            NaN
         0.0333         0.0059         0.0091         0.0000            NaN            NaN            NaN
         0.0340         0.0059         0.0091         0.0000            NaN            NaN            NaN
         0.0347         0.0059         0.0092         0.0000            NaN            NaN            NaN
         0.0353         0.0060         0.0092         0.0000            NaN            NaN            NaN
         0.0360         0.0060         0.0092         0.0000            NaN            NaN            NaN
         0.0367         0.0060         0.0092         0.0000            NaN            NaN            NaN
         0.0373         0.0060         0.0093         0.0000            NaN            NaN            NaN
         0.0380         0.0060         0.0093         0.0000            NaN            NaN            NaN
         0.0387         0.0061         0.0093         0.0000            NaN            NaN            NaN
         0.0393         0.0061         0.0093         0.0000            NaN            NaN            NaN
         0.0400         0.0061         0.0094         0.0000            NaN            NaN            NaN
         0.0407         0.0061         0.0094         0.0000            NaN            NaN            NaN
         0.0413         0.0061         0.0094         0.0000            NaN            NaN            NaN
         0.0420         0.0062         0.0095         0.0000            NaN            NaN            NaN
         0.0427         0.0062         0.0095         0.0000            NaN            NaN            NaN
         0.0433         0.0062         0.0095         0.0000            NaN            NaN            NaN
         0.0440         0.0062         0.0095         0.0000            NaN            NaN            NaN
         0.0447         0.0062         0.0096         0.0000            NaN            NaN            NaN
         0.0453         0.0063         0.0096         0.0000            NaN            NaN            NaN
         0.0460         0.0063         0.0096         0.0000            NaN            NaN            NaN
         0.0467         0.0063         0.0096         0.0000            NaN            NaN            NaN
         0.0473         0.0063         0.0097         0.0000            NaN            NaN            NaN
         0.0480         0.0063         0.0097         0.0000            NaN            NaN            NaN
         0.0487         0.0064         0.0097         0.0000            NaN            NaN            NaN
         0.0493         0.0064         0.0098         0.0000            NaN            NaN            NaN
         0.0500         0.0064         0.0098         0.0000            NaN            NaN            NaN
         0.0507         0.0064         0.0098         0.0000            NaN            NaN            NaN
         0.0513         0.0065         0.0098         0.0000            NaN            NaN            NaN
         0.0520         0.0065         0.0099         0.0000            NaN            NaN            NaN
         0.0527         0.0065         0.0099         0.0000            NaN            NaN            NaN
         0.0533         0.0065         0.0099         0.0000            NaN            NaN            NaN
         0.0540         0.0066         0.0100         0.0000            NaN            NaN            NaN
         0.0547         0.0066         0.0100         0.0000            NaN            NaN            NaN
         0.0553         0.0066         0.0100         0.0000            NaN            NaN            NaN
         0.0560         0.0066         0.0101         0.0000            NaN            NaN            NaN
         0.0567         0.0067         0.0101         0.0000            NaN            NaN            NaN
         0.0573         0.0067         0.0101         0.0000            NaN            NaN            NaN
         0.0580         0.0067         0.0102         0.0000            NaN            NaN            NaN
         0.0587         0.0067         0.0102         0.0000            NaN            NaN            NaN
         0.0593         0.0068         0.0102         0.0000            NaN            NaN            NaN
         0.0600         0.0068         0.0103         0.0000            NaN            NaN            NaN
         0.0607         0.0068         0.0103         0.0000            NaN            NaN            NaN
         0.0613         0.0068         0.0103         0.0000            NaN            NaN            NaN
         0.0620         0.0069         0.0104         0.0000            NaN            NaN            NaN
         0.0627         0.0069         0.0104         0.0000            NaN            NaN            NaN
         0.0633         0.0069         0.0104         0.0000            NaN            NaN            NaN
         0.0640         0.0069         0.0105         0.0000            NaN            NaN            NaN
         0.0647         0.0070         0.0105         0.0000            NaN            NaN            NaN
         0.0653         0.0070         0.0106         0.0000            NaN            NaN            NaN
         0.0660         0.0070         0.0106         0.0000            NaN            NaN            NaN
         0.0667         0.0071         0.0106         0.0000            NaN            NaN            NaN
         0.0673         0.0071         0.0107         0.0000            NaN            NaN            NaN
         0.0680         0.0071         0.0107         0.0000            NaN            NaN            NaN
         0.0687         0.0071         0.0107         0.0000            NaN            NaN            NaN
