 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0568         0.0517         0.0000         0.0000         0.0000         0.0000
         0.0007         0.0570         0.0518         0.0000         0.0000         0.0000         0.0000
         0.0013         0.0571         0.0520         0.0000         0.0000         0.0000         0.0000
         0.0020         0.0573         0.0521         0.0000         0.0000         0.0000         0.0000
         0.0027         0.0575         0.0523         0.0000         0.0000         0.0000         0.0000
         0.0033         0.0577         0.0524         0.0000         0.0000         0.0000         0.0000
         0.0040         0.0578         0.0526         0.0000         0.0000         0.0000         0.0000
         0.0047         0.0580         0.0527         0.0000         0.0000         0.0000         0.0000
         0.0053         0.0582         0.0529         0.0000         0.0000         0.0000         0.0000
         0.0060         0.0584         0.0531         0.0000         0.0000         0.0000         0.0000
         0.0067         0.0586         0.0532         0.0000         0.0000         0.0000         0.0000
         0.0073         0.0588         0.0534         0.0000         0.0000         0.0000         0.0000
         0.0080         0.0590         0.0535         0.0000         0.0000         0.0000         0.0000
         0.0087         0.0592         0.0537         0.0000         0.0000         0.0000         0.0000
         0.0093         0.0594         0.0539         0.0000         0.0000         0.0000         0.0000
         0.0100         0.0595         0.0540         0.0000         0.0000         0.0000         0.0000
         0.0107         0.0597         0.0542         0.0000         0.0000         0.0000         0.0000
         0.0113         0.0599         0.0543         0.0000         0.0000         0.0000         0.0000
         0.0120         0.0601         0.0545         0.0000         0.0000         0.0000         0.0000
         0.0127         0.0603         0.0547         0.0000         0.0000         0.0000         0.0000
         0.0133         0.0605         0.0548         0.0000         0.0000         0.0000         0.0000
         0.0140         0.0608         0.0550         0.0000         0.0000         0.0000         0.0000
         0.0147         0.0610         0.0552         0.0000         0.0000         0.0000         0.0000
         0.0153         0.0612         0.0554         0.0000         0.0000         0.0000         0.0000
         0.0160         0.0614         0.0555         0.0000         0.0000         0.0000         0.0000
         0.0167         0.0616         0.0557         0.0000         0.0000         0.0000         0.0000
         0.0173         0.0618         0.0559         0.0000         0.0000         0.0000         0.0000
         0.0180         0.0620         0.0561         0.0000         0.0000         0.0000         0.0000
         0.0187         0.0622         0.0562         0.0000         0.0000         0.0000         0.0000
         0.0193         0.0624         0.0564         0.0000         0.0000         0.0000         0.0000
         0.0200         0.0627         0.0566         0.0000         0.0000         0.0000         0.0000
         0.0207         0.0629         0.0568         0.0000         0.0000         0.0000         0.0000
         0.0213         0.0631         0.0570         0.0000         0.0000         0.0000         0.0000
         0.0220         0.0633         0.0572         0.0000         0.0000         0.0000         0.0000
         0.0227         0.0636         0.0573         0.0000         0.0000         0.0000         0.0000
         0.0233         0.0638         0.0575         0.0000         0.0000         0.0000         0.0000
         0.0240         0.0640         0.0577         0.0000         0.0000         0.0000         0.0000
         0.0247         0.0643         0.0579         0.0000         0.0000         0.0000         0.0000
         0.0253         0.0645         0.0581         0.0000         0.0000         0.0000         0.0000
         0.0260         0.0647         0.0583         0.0000         0.0000         0.0000         0.0000
         0.0267         0.0650         0.0585         0.0000         0.0000         0.0000         0.0000
         0.0273         0.0652         0.0587         0.0000         0.0000         0.0000         0.0000
         0.0280         0.0655         0.0589         0.0000         0.0000         0.0000         0.0000
         0.0287         0.0657         0.0591         0.0000         0.0000         0.0000         0.0000
         0.0293         0.0660         0.0593         0.0000         0.0000         0.0000         0.0000
         0.0300         0.0662         0.0595         0.0000         0.0000         0.0000         0.0000
         0.0307         0.0665         0.0597         0.0000         0.0000         0.0000         0.0000
         0.0313         0.0667         0.0599         0.0000         0.0000         0.0000         0.0000
         0.0320         0.0670         0.0601         0.0000         0.0000         0.0000         0.0000
         0.0327         0.0672         0.0603         0.0000         0.0000         0.0000         0.0000
         0.0333         0.0675         0.0606         0.0000         0.0000         0.0000         0.0000
         0.0340         0.0678         0.0608         0.0000         0.0000         0.0000         0.0000
         0.0347         0.0680         0.0610         0.0000         0.0000         0.0000         0.0000
         0.0353         0.0683         0.0612         0.0000         0.0000         0.0000         0.0000
         0.0360         0.0686         0.0614         0.0000         0.0000         0.0000         0.0000
         0.0367         0.0688         0.0617         0.0000         0.0000         0.0000         0.0000
         0.0373         0.0691         0.0619         0.0000         0.0000         0.0000         0.0000
         0.0380         0.0694         0.0621         0.0000         0.0000         0.0000         0.0000
         0.0387         0.0697         0.0623         0.0000         0.0000         0.0000         0.0000
         0.0393         0.0700         0.0626         0.0000         0.0000         0.0000         0.0000
         0.0400         0.0703         0.0628         0.0000         0.0000         0.0000         0.0000
         0.0407         0.0705         0.0630         0.0000         0.0000         0.0000         0.0000
         0.0413         0.0708         0.0633         0.0000         0.0000         0.0000         0.0000
         0.0420         0.0711         0.0635         0.0000         0.0000         0.0000         0.0000
         0.0427         0.0714         0.0638         0.0000         0.0000         0.0000         0.0000
         0.0433         0.0717         0.0640         0.0000         0.0000         0.0000         0.0000
         0.0440         0.0720         0.0642         0.0000         0.0000         0.0000         0.0000
         0.0447         0.0723         0.0645         0.0000         0.0000         0.0000         0.0000
         0.0453         0.0727         0.0647         0.0000         0.0000         0.0000         0.0000
         0.0460         0.0730         0.0650         0.0000         0.0000         0.0000         0.0000
         0.0467         0.0733         0.0652         0.0000         0.0000         0.0000         0.0000
         0.0473         0.0736         0.0655         0.0000         0.0000         0.0000         0.0000
         0.0480         0.0739         0.0658         0.0000         0.0000         0.0000         0.0000
         0.0487         0.0743         0.0660         0.0000         0.0000         0.0000         0.0000
         0.0493         0.0746         0.0663         0.0000         0.0000         0.0000         0.0000
         0.0500         0.0749         0.0666         0.0000         0.0000         0.0000         0.0000
         0.0507         0.0753         0.0668         0.0000         0.0000         0.0000         0.0000
         0.0513         0.0756         0.0671         0.0000         0.0000         0.0000         0.0000
         0.0520         0.0759         0.0674         0.0000         0.0000         0.0000         0.0000
         0.0527         0.0763         0.0677         0.0000         0.0000         0.0000         0.0000
         0.0533         0.0766         0.0679         0.0000         0.0000         0.0000         0.0000
         0.0540         0.0770         0.0682         0.0000         0.0000         0.0000         0.0000
         0.0547         0.0773         0.0685         0.0000         0.0000         0.0000         0.0000
         0.0553         0.0777         0.0688         0.0000         0.0000         0.0000         0.0000
         0.0560         0.0781         0.0691         0.0000         0.0000         0.0000         0.0000
         0.0567         0.0784         0.0694         0.0000         0.0000         0.0000         0.0000
         0.0573         0.0788         0.0697         0.0000         0.0000         0.0000         0.0000
         0.0580         0.0792         0.0700         0.0000         0.0000         0.0000         0.0000
         0.0587         0.0796         0.0703         0.0000         0.0000         0.0000         0.0000
         0.0593         0.0799         0.0706         0.0000         0.0000         0.0000         0.0000
         0.0600         0.0803         0.0709         0.0000         0.0000         0.0000         0.0000
         0.0607         0.0807         0.0712         0.0000         0.0000         0.0000         0.0000
         0.0613         0.0811         0.0715         0.0000         0.0000         0.0000         0.0000
         0.0620         0.0815         0.0718         0.0000         0.0000         0.0000         0.0000
         0.0627         0.0819         0.0722         0.0000         0.0000         0.0000         0.0000
         0.0633         0.0823         0.0725         0.0000         0.0000         0.0000         0.0000
         0.0640         0.0827         0.0728         0.0000         0.0000         0.0000         0.0000
         0.0647         0.0832         0.0732         0.0000         0.0000         0.0000         0.0000
         0.0653         0.0836         0.0735         0.0000         0.0000         0.0000         0.0000
         0.0660         0.0840         0.0738         0.0000         0.0000         0.0000         0.0000
         0.0667         0.0844         0.0742         0.0000         0.0000         0.0000         0.0000
         0.0673         0.0849         0.0745         0.0000         0.0000         0.0000         0.0000
         0.0680         0.0853         0.0749         0.0000         0.0000         0.0000         0.0000
         0.0687         0.0858         0.0752         0.0000         0.0000         0.0000         0.0000
         0.0693         0.0862         0.0756         0.0000         0.0000         0.0000         0.0000
         0.0700         0.0867         0.0759         0.0000         0.0000         0.0000         0.0000
         0.0707         0.0871         0.0763         0.0000         0.0000         0.0000         0.0000
         0.0713         0.0876         0.0767         0.0000         0.0000         0.0000         0.0000
         0.0720         0.0881         0.0771         0.0000         0.0000         0.0000         0.0000
         0.0727         0.0885         0.0774         0.0000         0.0000         0.0000         0.0000
         0.0733         0.0890         0.0778         0.0000         0.0000         0.0000         0.0000
         0.0740         0.0895         0.0782         0.0000         0.0000         0.0000         0.0000
         0.0747         0.0900         0.0786         0.0000         0.0000         0.0000         0.0000
         0.0753         0.0905         0.0790         0.0000         0.0000         0.0000         0.0000
         0.0760         0.0910         0.0794         0.0000         0.0000         0.0000         0.0000
         0.0767         0.0915         0.0798         0.0000         0.0000         0.0000         0.0000
         0.0773         0.0920         0.0802         0.0000         0.0000         0.0000         0.0000
         0.0780         0.0925         0.0806         0.0000         0.0000         0.0000         0.0000
         0.0787         0.0931         0.0810         0.0000         0.0000         0.0000         0.0000
         0.0793         0.0936         0.0815         0.0000         0.0000         0.0000         0.0000
         0.0800         0.0941         0.0819         0.0000         0.0000         0.0000         0.0000
         0.0807         0.0947         0.0823         0.0000         0.0000         0.0000         0.0000
         0.0813         0.0952         0.0828         0.0000         0.0000         0.0000         0.0000
         0.0820         0.0958         0.0832         0.0000         0.0000         0.0000         0.0000
         0.0827         0.0963         0.0837         0.0000         0.0000         0.0000         0.0000
         0.0833         0.0969         0.0841         0.0000         0.0000         0.0000         0.0000
         0.0840         0.0975         0.0846         0.0000         0.0000         0.0000         0.0000
         0.0847         0.0981         0.0850         0.0000         0.0000         0.0000         0.0000
         0.0853         0.0987         0.0855         0.0000         0.0000         0.0000         0.0000
         0.0860         0.0993         0.0860         0.0000         0.0000         0.0000         0.0000
         0.0867         0.0999         0.0865         0.0000         0.0000         0.0000         0.0000
         0.0873         0.1005         0.0870         0.0000         0.0000         0.0000         0.0000
         0.0880         0.1011         0.0875         0.0000         0.0000         0.0000         0.0000
         0.0887         0.1017         0.0880         0.0000         0.0000         0.0000         0.0000
         0.0893         0.1023         0.0885         0.0000         0.0000         0.0000         0.0000
         0.0900         0.1030         0.0890         0.0000         0.0000         0.0000         0.0000
         0.0907         0.1036         0.0895         0.0000         0.0000         0.0000         0.0000
         0.0913         0.1043         0.0900         0.0000         0.0000         0.0000         0.0000
         0.0920         0.1049         0.0905         0.0000         0.0000         0.0000         0.0000
         0.0927         0.1056         0.0911         0.0000         0.0000         0.0000         0.0000
