 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.2244         0.1601         0.0294         1.0000         1.0000         1.0000
         0.0007         0.2245         0.1602         0.0294         1.0000         1.0000         1.0000
         0.0013         0.2246         0.1603         0.0294         1.0000         1.0000         1.0000
         0.0020         0.2247         0.1604         0.0294         1.0000         1.0000         1.0000
         0.0027         0.2248         0.1604         0.0294         1.0000         1.0000         1.0000
         0.0033         0.2249         0.1605         0.0294         1.0000         1.0000         1.0000
         0.0040         0.2250         0.1606         0.0294         1.0000         1.0000         1.0000
         0.0047         0.2251         0.1607         0.0294         1.0000         1.0000         1.0000
         0.0053         0.2252         0.1608         0.0294         1.0000         1.0000         1.0000
         0.0060         0.2253         0.1609         0.0294         1.0000         1.0000         1.0000
         0.0067         0.2253         0.1610         0.0294         1.0000         1.0000         1.0000
         0.0073         0.2254         0.1611         0.0294         1.0000         1.0000         1.0000
         0.0080         0.2255         0.1612         0.0294         1.0000         1.0000         1.0000
         0.0087         0.2256         0.1613         0.0294         1.0000         1.0000         1.0000
         0.0093         0.2257         0.1614         0.0294         1.0000         1.0000         1.0000
         0.0100         0.2258         0.1615         0.0294         1.0000         1.0000         1.0000
         0.0107         0.2259         0.1616         0.0294         1.0000         1.0000         1.0000
         0.0113         0.2260         0.1617         0.0294         1.0000         1.0000         1.0000
         0.0120         0.2261         0.1618         0.0294         1.0000         1.0000         1.0000
         0.0127         0.2262         0.1619         0.0294         1.0000         1.0000         1.0000
         0.0133         0.2263         0.1620         0.0294         1.0000         1.0000         1.0000
         0.0140         0.2264         0.1621         0.0294         1.0000         1.0000         1.0000
         0.0147         0.2265         0.1622         0.0294         1.0000         1.0000         1.0000
         0.0153         0.2266         0.1623         0.0294         1.0000         1.0000         1.0000
         0.0160         0.2267         0.1624         0.0294         1.0000         1.0000         1.0000
         0.0167         0.2268         0.1625         0.0294         1.0000         1.0000         1.0000
         0.0173         0.2269         0.1626         0.0294         1.0000         1.0000         1.0000
         0.0180         0.2270         0.1627         0.0294         1.0000         1.0000         1.0000
         0.0187         0.2271         0.1628         0.0294         1.0000         1.0000         1.0000
         0.0193         0.2272         0.1629         0.0294         1.0000         1.0000         1.0000
         0.0200         0.2273         0.1630         0.0294         1.0000         1.0000         1.0000
         0.0207         0.2274         0.1631         0.0294         1.0000         1.0000         1.0000
         0.0213         0.2275         0.1632         0.0294         1.0000         1.0000         1.0000
