 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         2.7989         2.3324         1.4142         0.0000         0.0000         0.0000
         0.0007         2.7996         2.3331         1.4142         0.0000         0.0000         0.0000
         0.0013         2.8003         2.3337         1.4142         0.0000         0.0000         0.0000
         0.0020         2.8010         2.3344         1.4142         0.0000         0.0000         0.0000
         0.0027         2.8017         2.3350         1.4142         0.0000         0.0000         0.0000
         0.0033         2.8024         2.3357         1.4142         0.0000         0.0000         0.0000
         0.0040         2.8032         2.3363         1.4142         0.0000         0.0000         0.0000
         0.0047         2.8039         2.3370         1.4142         0.0000         0.0000         0.0000
         0.0053         2.8046         2.3376         1.4142         0.0000         0.0000         0.0000
         0.0060         2.8053         2.3383         1.4142         0.0000         0.0000         0.0000
         0.0067         2.8060         2.3389         1.4142         0.0000         0.0000         0.0000
         0.0073         2.8067         2.3396         1.4142         0.0000         0.0000         0.0000
         0.0080         2.8075         2.3403         1.4142         0.0000         0.0000         0.0000
         0.0087         2.8082         2.3409         1.4142         0.0000         0.0000         0.0000
         0.0093         2.8089         2.3416         1.4142         0.0000         0.0000         0.0000
         0.0100         2.8096         2.3423         1.4142         0.0000         0.0000         0.0000
         0.0107         2.8104         2.3429         1.4142         0.0000         0.0000         0.0000
         0.0113         2.8111         2.3436         1.4142         0.0000         0.0000         0.0000
         0.0120         2.8118         2.3443         1.4142         0.0000         0.0000         0.0000
         0.0127         2.8126         2.3449         1.4142         0.0000         0.0000         0.0000
         0.0133         2.8133         2.3456         1.4142         0.0000         0.0000         0.0000
         0.0140         2.8140         2.3463         1.4142         0.0000         0.0000         0.0000
         0.0147         2.8148         2.3470         1.4142         0.0000         0.0000         0.0000
         0.0153         2.8155         2.3476         1.4142         0.0000         0.0000         0.0000
         0.0160         2.8163         2.3483         1.4142         0.0000         0.0000         0.0000
         0.0167         2.8170         2.3490         1.4142         0.0000         0.0000         0.0000
         0.0173         2.8178         2.3497         1.4142         0.0000         0.0000         0.0000
         0.0180         2.8185         2.3504         1.4142         0.0000         0.0000         0.0000
         0.0187         2.8193         2.3511         1.4142         0.0000         0.0000         0.0000
         0.0193         2.8200         2.3518         1.4142         0.0000         0.0000         0.0000
         0.0200         2.8208         2.3525         1.4142         0.0000         0.0000         0.0000
         0.0207         2.8215         2.3532         1.4142         0.0000         0.0000         0.0000
         0.0213         2.8223         2.3539         1.4142         0.0000         0.0000         0.0000
         0.0220         2.8231         2.3546         1.4142         0.0000         0.0000         0.0000
         0.0227         2.8238         2.3553         1.4142         0.0000         0.0000         0.0000
         0.0233         2.8246         2.3560         1.4142         0.0000         0.0000         0.0000
         0.0240         2.8254         2.3567         1.4142         0.0000         0.0000         0.0000
         0.0247         2.8261         2.3574         1.4142         0.0000         0.0000         0.0000
         0.0253         2.8269         2.3581         1.4142         0.0000         0.0000         0.0000
         0.0260         2.8277         2.3588         1.4142         0.0000         0.0000         0.0000
         0.0267         2.8285         2.3595         1.4142         0.0000         0.0000         0.0000
         0.0273         2.8293         2.3602         1.4142         0.0000         0.0000         0.0000
         0.0280         2.8300         2.3609         1.4142         0.0000         0.0000         0.0000
         0.0287         2.8308         2.3616         1.4142         0.0000         0.0000         0.0000
         0.0293         2.8316         2.3624         1.4142         0.0000         0.0000         0.0000
         0.0300         2.8324         2.3631         1.4142         0.0000         0.0000         0.0000
         0.0307         2.8332         2.3638         1.4142         0.0000         0.0000         0.0000
         0.0313         2.8340         2.3645         1.4142         0.0000         0.0000         0.0000
