 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0007         0.0000         0.0000         0.0000         8.6286         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000        17.2465         0.0000         0.0000
         0.0020         0.0000         0.0000         0.0000        25.8535         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000        34.4497         0.0000         0.0000
         0.0033         0.0000         0.0000         0.0000        43.0349         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000        51.6091         0.0000         0.0000
         0.0047         0.0000         0.0000         0.0000        60.1723         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000        68.7243         0.0000         0.0000
         0.0060         0.0000         0.0000         0.0000        77.2652         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000        85.7948         0.0000         0.0000
         0.0073         0.0000         0.0000         0.0000        94.3132         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000       102.8202         0.0000         0.0000
         0.0087         0.0000         0.0000         0.0000       111.3158         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000       119.8000         0.0000         0.0000
         0.0100         0.0000         0.0000         0.0000       128.2726         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000       136.7337         0.0000         0.0000
         0.0113         0.0000         0.0000         0.0000       145.1831         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000       153.6208         0.0000         0.0000
         0.0127         0.0000         0.0000         0.0000       162.0468         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000       170.4609         0.0000         0.0000
         0.0140         0.0000         0.0000         0.0000       178.8632         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000       187.2535         0.0000         0.0000
         0.0153         0.0000         0.0000         0.0000       195.6318         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000       203.9981         0.0000         0.0000
         0.0167         0.0000         0.0000         0.0000       212.3522         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000       220.6940         0.0000         0.0000
         0.0180         0.0000         0.0000         0.0000       229.0237         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000       237.3410         0.0000         0.0000
         0.0193         0.0000         0.0000         0.0000       245.6459         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000       253.9384         0.0000         0.0000
         0.0207         0.0000         0.0000         0.0000       262.2183         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000       270.4857         0.0000         0.0000
         0.0220         0.0000         0.0000         0.0000       278.7404         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000       286.9824         0.0000         0.0000
         0.0233         0.0000         0.0000         0.0000       295.2116         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000       303.4279         0.0000         0.0000
         0.0247         0.0000         0.0000         0.0000       311.6313         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000       319.8218         0.0000         0.0000
         0.0260         0.0000         0.0000         0.0000       327.9991         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000       336.1633         0.0000         0.0000
         0.0273         0.0000         0.0000         0.0000       344.3144         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000       352.4521         0.0000         0.0000
         0.0287         0.0000         0.0000         0.0000       360.5765         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000       368.6875         0.0000         0.0000
         0.0300         0.0000         0.0000         0.0000       376.7850         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000       384.8690         0.0000         0.0000
         0.0313         0.0000         0.0000         0.0000       392.9393         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000       400.9959         0.0000         0.0000
         0.0327         0.0000         0.0000         0.0000       409.0388         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000       417.0678         0.0000         0.0000
         0.0340         0.0000         0.0000         0.0000       425.0828         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000       433.0839         0.0000         0.0000
         0.0353         0.0000         0.0000         0.0000       441.0709         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000       449.0437         0.0000         0.0000
         0.0367         0.0000         0.0000         0.0000       457.0023         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000       464.9466         0.0000         0.0000
         0.0380         0.0000         0.0000         0.0000       472.8764         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000       480.7919         0.0000         0.0000
         0.0393         0.0000         0.0000         0.0000       488.6928         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000       496.5791         0.0000         0.0000
         0.0407         0.0000         0.0000         0.0000       504.4506         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000       512.3074         0.0000         0.0000
         0.0420         0.0000         0.0000         0.0000       520.1493         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000       527.9763         0.0000         0.0000
         0.0433         0.0000         0.0000         0.0000       535.7882         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000       543.5851         0.0000         0.0000
         0.0447         0.0000         0.0000         0.0000       551.3667         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000       559.1331         0.0000         0.0000
         0.0460         0.0000         0.0000         0.0000       566.8841         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000       574.6196         0.0000         0.0000
         0.0473         0.0000         0.0000         0.0000       582.3397         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000       590.0440         0.0000         0.0000
         0.0487         0.0000         0.0000         0.0000       597.7328         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000       605.4057         0.0000         0.0000
         0.0500         0.0000         0.0000         0.0000       613.0627         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000       620.7037         0.0000         0.0000
         0.0513         0.0000         0.0000         0.0000       628.3287         0.0000         0.0000
         0.0520         0.0000         0.0000         0.0000       635.9376         0.0000         0.0000
         0.0527         0.0000         0.0000         0.0000       643.5302         0.0000         0.0000
         0.0533         0.0000         0.0000         0.0000       651.1065         0.0000         0.0000
         0.0540         0.0000         0.0000         0.0000       658.6663         0.0000         0.0000
         0.0547         0.0000         0.0000         0.0000       666.2097         0.0000         0.0000
         0.0553         0.0000         0.0000         0.0000       673.7364         0.0000         0.0000
         0.0560         0.0000         0.0000         0.0000       681.2464         0.0000         0.0000
         0.0567         0.0000         0.0000         0.0000       688.7397         0.0000         0.0000
         0.0573         0.0000         0.0000         0.0000       696.2160         0.0000         0.0000
         0.0580         0.0000         0.0000         0.0000       703.6754         0.0000         0.0000
         0.0587         0.0000         0.0000         0.0000       711.1177         0.0000         0.0000
         0.0593         0.0000         0.0000         0.0000       718.5427         0.0000         0.0000
         0.0600         0.0000         0.0000         0.0000       725.9505         0.0000         0.0000
         0.0607         0.0000         0.0000         0.0000       733.3410         0.0000         0.0000
         0.0613         0.0000         0.0000         0.0000       740.7139         0.0000         0.0000
         0.0620         0.0000         0.0000         0.0000       748.0693         0.0000         0.0000
         0.0627         0.0000         0.0000         0.0000       755.4070         0.0000         0.0000
         0.0633         0.0000         0.0000         0.0000       762.7270         0.0000         0.0000
         0.0640         0.0000         0.0000         0.0000       770.0290         0.0000         0.0000
         0.0647         0.0000         0.0000         0.0000       777.3130         0.0000         0.0000
         0.0653         0.0000         0.0000         0.0000       784.5790         0.0000         0.0000
         0.0660         0.0000         0.0000         0.0000       791.8268         0.0000         0.0000
         0.0667         0.0000         0.0000         0.0000       799.0563         0.0000         0.0000
         0.0673         0.0000         0.0000         0.0000       806.2674         0.0000         0.0000
         0.0680         0.0000         0.0000         0.0000       813.4599         0.0000         0.0000
         0.0687         0.0000         0.0000         0.0000       820.6338         0.0000         0.0000
         0.0693         0.0000         0.0000         0.0000       827.7890         0.0000         0.0000
         0.0700         0.0000         0.0000         0.0000       834.9254         0.0000         0.0000
         0.0707         0.0000         0.0000         0.0000       842.0429         0.0000         0.0000
         0.0713         0.0000         0.0000         0.0000       849.1412         0.0000         0.0000
         0.0720         0.0000         0.0000         0.0000       856.2204         0.0000         0.0000
         0.0727         0.0000         0.0000         0.0000       863.2803         0.0000         0.0000
         0.0733         0.0000         0.0000         0.0000       870.3208         0.0000         0.0000
         0.0740         0.0000         0.0000         0.0000       877.3418         0.0000         0.0000
         0.0747         0.0000         0.0000         0.0000       884.3432         0.0000         0.0000
         0.0753         0.0000         0.0000         0.0000       891.3248         0.0000         0.0000
         0.0760         0.0000         0.0000         0.0000       898.2866         0.0000         0.0000
         0.0767         0.0000         0.0000         0.0000       905.2284         0.0000         0.0000
         0.0773         0.0000         0.0000         0.0000       912.1500         0.0000         0.0000
         0.0780         0.0000         0.0000         0.0000       919.0515         0.0000         0.0000
         0.0787         0.0000         0.0000         0.0000       925.9326         0.0000         0.0000
         0.0793         0.0000         0.0000         0.0000       932.7933         0.0000         0.0000
         0.0800         0.0000         0.0000         0.0000       939.6333         0.0000         0.0000
         0.0807         0.0000         0.0000         0.0000       946.4527         0.0000         0.0000
         0.0813         0.0000         0.0000         0.0000       953.2512         0.0000         0.0000
         0.0820         0.0000         0.0000         0.0000       960.0288         0.0000         0.0000
         0.0827         0.0000         0.0000         0.0000       966.7853         0.0000         0.0000
         0.0833         0.0000         0.0000         0.0000       973.5205         0.0000         0.0000
         0.0840         0.0000         0.0000         0.0000       980.2345         0.0000         0.0000
         0.0847         0.0000         0.0000         0.0000       986.9269         0.0000         0.0000
         0.0853         0.0000         0.0000         0.0000       993.5977         0.0000         0.0000
         0.0860         0.0000         0.0000         0.0000      1000.2468         0.0000         0.0000
         0.0867         0.0000         0.0000         0.0000      1006.8741         0.0000         0.0000
         0.0873         0.0000         0.0000         0.0000      1013.4793         0.0000         0.0000
         0.0880         0.0000         0.0000         0.0000      1020.0624         0.0000         0.0000
         0.0887         0.0000         0.0000         0.0000      1026.6232         0.0000         0.0000
         0.0893         0.0000         0.0000         0.0000      1033.1615         0.0000         0.0000
         0.0900         0.0000         0.0000         0.0000      1039.6774         0.0000         0.0000
         0.0907         0.0000         0.0000         0.0000      1046.1705         0.0000         0.0000
         0.0913         0.0000         0.0000         0.0000      1052.6408         0.0000         0.0000
         0.0920         0.0000         0.0000         0.0000      1059.0882         0.0000         0.0000
         0.0927         0.0000         0.0000         0.0000      1065.5124         0.0000         0.0000
         0.0933         0.0000         0.0000         0.0000      1071.9133         0.0000         0.0000
         0.0940         0.0000         0.0000         0.0000      1078.2908         0.0000         0.0000
         0.0947         0.0000         0.0000         0.0000      1084.6448         0.0000         0.0000
         0.0953         0.0000         0.0000         0.0000      1090.9751         0.0000         0.0000
         0.0960         0.0000         0.0000         0.0000      1097.2815         0.0000         0.0000
         0.0967         0.0000         0.0000         0.0000      1103.5639         0.0000         0.0000
         0.0973         0.0000         0.0000         0.0000      1109.8221         0.0000         0.0000
         0.0980         0.0000         0.0000         0.0000      1116.0560         0.0000         0.0000
         0.0987         0.0000         0.0000         0.0000      1122.2655         0.0000         0.0000
         0.0993         0.0000         0.0000         0.0000      1128.4503         0.0000         0.0000
         0.1000         0.0000         0.0000         0.0000      1134.6104         0.0000         0.0000
         0.1007         0.0000         0.0000         0.0000      1140.7455         0.0000         0.0000
         0.1013         0.0000         0.0000         0.0000      1146.8555         0.0000         0.0000
         0.1020         0.0000         0.0000         0.0000      1152.9402         0.0000         0.0000
         0.1027         0.0000         0.0000         0.0000      1158.9996         0.0000         0.0000
         0.1033         0.0000         0.0000         0.0000      1165.0333         0.0000         0.0000
         0.1040         0.0000         0.0000         0.0000      1171.0412         0.0000         0.0000
         0.1047         0.0000         0.0000         0.0000      1177.0233         0.0000         0.0000
         0.1053         0.0000         0.0000         0.0000      1182.9792         0.0000         0.0000
         0.1060         0.0000         0.0000         0.0000      1188.9089         0.0000         0.0000
         0.1067         0.0000         0.0000         0.0000      1194.8121         0.0000         0.0000
         0.1073         0.0000         0.0000         0.0000      1200.6888         0.0000         0.0000
         0.1080         0.0000         0.0000         0.0000      1206.5386         0.0000         0.0000
         0.1087         0.0000         0.0000         0.0000      1212.3614         0.0000         0.0000
         0.1093         0.0000         0.0000         0.0000      1218.1572         0.0000         0.0000
         0.1100         0.0000         0.0000         0.0000      1223.9256         0.0000         0.0000
         0.1107         0.0000         0.0000         0.0000      1229.6665         0.0000         0.0000
         0.1113         0.0000         0.0000         0.0000      1235.3797         0.0000         0.0000
         0.1120         0.0000         0.0000         0.0000      1241.0650         0.0000         0.0000
         0.1127         0.0000         0.0000         0.0000      1246.7224         0.0000         0.0000
         0.1133         0.0000         0.0000         0.0000      1252.3514         0.0000         0.0000
         0.1140         0.0000         0.0000         0.0000      1257.9520         0.0000         0.0000
         0.1147         0.0000         0.0000         0.0000      1263.5239         0.0000         0.0000
         0.1153         0.0000         0.0000         0.0000      1269.0671         0.0000         0.0000
         0.1160         0.0000         0.0000         0.0000      1274.5812         0.0000         0.0000
         0.1167         0.0000         0.0000         0.0000      1280.0661         0.0000         0.0000
         0.1173         0.0000         0.0000         0.0000      1285.5216         0.0000         0.0000
         0.1180         0.0000         0.0000         0.0000      1290.9475         0.0000         0.0000
         0.1187         0.0000         0.0000         0.0000      1296.3435         0.0000         0.0000
         0.1193         0.0000         0.0000         0.0000      1301.7095         0.0000         0.0000
         0.1200         0.0000         0.0000         0.0000      1307.0452         0.0000         0.0000
         0.1207         0.0000         0.0000         0.0000      1312.3505         0.0000         0.0000
         0.1213         0.0000         0.0000         0.0000      1317.6252         0.0000         0.0000
         0.1220         0.0000         0.0000         0.0000      1322.8690         0.0000         0.0000
         0.1227         0.0000         0.0000         0.0000      1328.0816         0.0000         0.0000
