 #  energy  real  imag
  0.000000000000000E+000   4.806376      0.0000000E+00
  6.666666666666666E-004   4.808084      0.0000000E+00
  1.333333333333333E-003   4.809794      0.0000000E+00
  2.000000000000000E-003   4.811507      0.0000000E+00
  2.666666666666667E-003   4.813223      0.0000000E+00
  3.333333333333334E-003   4.814942      0.0000000E+00
  4.000000000000000E-003   4.816664      0.0000000E+00
  4.666666666666667E-003   4.818388      0.0000000E+00
  5.333333333333333E-003   4.820116      0.0000000E+00
  6.000000000000000E-003   4.821847      0.0000000E+00
  6.666666666666667E-003   4.823580      0.0000000E+00
  7.333333333333333E-003   4.825316      0.0000000E+00
  8.000000000000000E-003   4.827056      0.0000000E+00
  8.666666666666666E-003   4.828798      0.0000000E+00
  9.333333333333334E-003   4.830544      0.0000000E+00
  1.000000000000000E-002   4.832292      0.0000000E+00
  1.066666666666667E-002   4.834043      0.0000000E+00
  1.133333333333333E-002   4.835797      0.0000000E+00
  1.200000000000000E-002   4.837554      0.0000000E+00
  1.266666666666667E-002   4.839315      0.0000000E+00
  1.333333333333333E-002   4.841078      0.0000000E+00
  1.400000000000000E-002   4.842844      0.0000000E+00
  1.466666666666667E-002   4.844614      0.0000000E+00
  1.533333333333333E-002   4.846386      0.0000000E+00
  1.600000000000000E-002   4.848162      0.0000000E+00
  1.666666666666667E-002   4.849940      0.0000000E+00
  1.733333333333333E-002   4.851722      0.0000000E+00
  1.800000000000000E-002   4.853507      0.0000000E+00
  1.866666666666667E-002   4.855295      0.0000000E+00
  1.933333333333333E-002   4.857086      0.0000000E+00
  2.000000000000000E-002   4.858880      0.0000000E+00
  2.066666666666667E-002   4.860677      0.0000000E+00
  2.133333333333333E-002   4.862478      0.0000000E+00
  2.200000000000000E-002   4.864281      0.0000000E+00
  2.266666666666667E-002   4.866088      0.0000000E+00
  2.333333333333333E-002   4.867898      0.0000000E+00
  2.400000000000000E-002   4.869711      0.0000000E+00
  2.466666666666667E-002   4.871527      0.0000000E+00
  2.533333333333333E-002   4.873347      0.0000000E+00
  2.600000000000000E-002   4.875169      0.0000000E+00
  2.666666666666667E-002   4.876996      0.0000000E+00
  2.733333333333333E-002   4.878825      0.0000000E+00
  2.800000000000000E-002   4.880657      0.0000000E+00
  2.866666666666667E-002   4.882493      0.0000000E+00
  2.933333333333333E-002   4.884332      0.0000000E+00
  3.000000000000000E-002   4.886174      0.0000000E+00
  3.066666666666666E-002   4.888020      0.0000000E+00
  3.133333333333333E-002   4.889869      0.0000000E+00
  3.200000000000000E-002   4.891721      0.0000000E+00
  3.266666666666666E-002   4.893577      0.0000000E+00
  3.333333333333333E-002   4.895436      0.0000000E+00
  3.400000000000000E-002   4.897298      0.0000000E+00
  3.466666666666667E-002   4.899164      0.0000000E+00
  3.533333333333333E-002   4.901032      0.0000000E+00
  3.600000000000000E-002   4.902905      0.0000000E+00
  3.666666666666667E-002   4.904781      0.0000000E+00
  3.733333333333334E-002   4.906660      0.0000000E+00
  3.800000000000000E-002   4.908543      0.0000000E+00
  3.866666666666667E-002   4.910429      0.0000000E+00
  3.933333333333333E-002   4.912319      0.0000000E+00
  4.000000000000000E-002   4.914212      0.0000000E+00
  4.066666666666666E-002   4.916108      0.0000000E+00
  4.133333333333333E-002   4.918008      0.0000000E+00
  4.200000000000000E-002   4.919912      0.0000000E+00
  4.266666666666667E-002   4.921819      0.0000000E+00
  4.333333333333333E-002   4.923729      0.0000000E+00
  4.400000000000000E-002   4.925643      0.0000000E+00
  4.466666666666667E-002   4.927561      0.0000000E+00
  4.533333333333334E-002   4.929482      0.0000000E+00
  4.600000000000000E-002   4.931407      0.0000000E+00
  4.666666666666667E-002   4.933335      0.0000000E+00
  4.733333333333333E-002   4.935267      0.0000000E+00
  4.800000000000000E-002   4.937203      0.0000000E+00
  4.866666666666666E-002   4.939142      0.0000000E+00
  4.933333333333333E-002   4.941085      0.0000000E+00
  5.000000000000000E-002   4.943032      0.0000000E+00
  5.066666666666667E-002   4.944982      0.0000000E+00
  5.133333333333333E-002   4.946936      0.0000000E+00
  5.200000000000000E-002   4.948894      0.0000000E+00
  5.266666666666667E-002   4.950855      0.0000000E+00
  5.333333333333334E-002   4.952820      0.0000000E+00
