 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0007         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0013         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0020         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0027         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0033         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0040         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0047         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0053         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0060         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0067         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0073         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0080         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0087         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0093         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0100         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0107         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0113         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0120         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0127         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0133         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0140         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0147         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0153         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0160         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0167         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0173         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0180         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0187         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0193         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0200         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0207         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0213         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0220         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0227         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0233         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0240         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0247         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0253         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0260         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0267         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0273         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0280         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0287         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0293         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0300         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0307         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0313         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0320         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0327         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0333         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0340         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0347         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0353         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0360         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0367         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0373         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0380         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0387         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0393         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0400         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0407         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0413         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0420         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0427         0.0000         0.0000         0.0000         0.0000            NaN            NaN
         0.0433         0.0000         0.0000         0.0000         0.0000            NaN            NaN
