 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.1279         0.0000         0.0000
         0.0007         0.0000         0.0000         0.0000         0.1278         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000         0.1277         0.0000         0.0000
         0.0020         0.0000         0.0000         0.0000         0.1276         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000         0.1275         0.0000         0.0000
         0.0033         0.0000         0.0000         0.0000         0.1275         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000         0.1274         0.0000         0.0000
         0.0047         0.0000         0.0000         0.0000         0.1273         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000         0.1272         0.0000         0.0000
         0.0060         0.0000         0.0000         0.0000         0.1271         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000         0.1271         0.0000         0.0000
         0.0073         0.0000         0.0000         0.0000         0.1270         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000         0.1269         0.0000         0.0000
         0.0087         0.0000         0.0000         0.0000         0.1268         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000         0.1267         0.0000         0.0000
         0.0100         0.0000         0.0000         0.0000         0.1266         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000         0.1266         0.0000         0.0000
         0.0113         0.0000         0.0000         0.0000         0.1265         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000         0.1264         0.0000         0.0000
         0.0127         0.0000         0.0000         0.0000         0.1263         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000         0.1262         0.0000         0.0000
         0.0140         0.0000         0.0000         0.0000         0.1261         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000         0.1261         0.0000         0.0000
         0.0153         0.0000         0.0000         0.0000         0.1260         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000         0.1259         0.0000         0.0000
         0.0167         0.0000         0.0000         0.0000         0.1258         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000         0.1257         0.0000         0.0000
         0.0180         0.0000         0.0000         0.0000         0.1256         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000         0.1255         0.0000         0.0000
         0.0193         0.0000         0.0000         0.0000         0.1254         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000         0.1254         0.0000         0.0000
         0.0207         0.0000         0.0000         0.0000         0.1253         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000         0.1252         0.0000         0.0000
         0.0220         0.0000         0.0000         0.0000         0.1251         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000         0.1250         0.0000         0.0000
         0.0233         0.0000         0.0000         0.0000         0.1249         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000         0.1248         0.0000         0.0000
         0.0247         0.0000         0.0000         0.0000         0.1247         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000         0.1246         0.0000         0.0000
         0.0260         0.0000         0.0000         0.0000         0.1246         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000         0.1245         0.0000         0.0000
         0.0273         0.0000         0.0000         0.0000         0.1244         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000         0.1243         0.0000         0.0000
         0.0287         0.0000         0.0000         0.0000         0.1242         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000         0.1241         0.0000         0.0000
         0.0300         0.0000         0.0000         0.0000         0.1240         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000         0.1239         0.0000         0.0000
