 #  energy  x  y  z  sp  sm
         0.0000         0.2003         0.1395         0.0294         0.1718         0.1718
         0.0007         0.2003         0.1396         0.0294         0.1718         0.1718
         0.0013         0.2004         0.1396         0.0294         0.1719         0.1719
         0.0020         0.2004         0.1397         0.0294         0.1719         0.1719
         0.0027         0.2005         0.1397         0.0294         0.1720         0.1720
         0.0033         0.2005         0.1398         0.0294         0.1721         0.1720
         0.0040         0.2006         0.1398         0.0294         0.1721         0.1721
         0.0047         0.2006         0.1399         0.0294         0.1722         0.1721
         0.0053         0.2007         0.1400         0.0294         0.1722         0.1722
         0.0060         0.2007         0.1400         0.0294         0.1723         0.1723
         0.0067         0.2008         0.1401         0.0294         0.1723         0.1723
         0.0073         0.2008         0.1401         0.0294         0.1724         0.1724
         0.0080         0.2009         0.1402         0.0294         0.1724         0.1724
         0.0087         0.2009         0.1403         0.0294         0.1725         0.1725
         0.0093         0.2010         0.1403         0.0294         0.1725         0.1725
         0.0100         0.2010         0.1404         0.0294         0.1726         0.1726
         0.0107         0.2011         0.1404         0.0294         0.1726         0.1726
         0.0113         0.2011         0.1405         0.0294         0.1727         0.1727
         0.0120         0.2012         0.1405         0.0294         0.1728         0.1727
         0.0127         0.2012         0.1406         0.0294         0.1728         0.1728
         0.0133         0.2013         0.1407         0.0294         0.1729         0.1729
         0.0140         0.2013         0.1407         0.0294         0.1729         0.1729
         0.0147         0.2014         0.1408         0.0294         0.1730         0.1730
         0.0153         0.2014         0.1408         0.0294         0.1730         0.1730
         0.0160         0.2015         0.1409         0.0294         0.1731         0.1731
         0.0167         0.2015         0.1410         0.0294         0.1731         0.1731
         0.0173         0.2016         0.1410         0.0294         0.1732         0.1732
         0.0180         0.2016         0.1411         0.0294         0.1733         0.1732
         0.0187         0.2017         0.1411         0.0294         0.1733         0.1733
         0.0193         0.2018         0.1412         0.0294         0.1734         0.1733
         0.0200         0.2018         0.1413         0.0294         0.1734         0.1734
         0.0207         0.2019         0.1413         0.0294         0.1735         0.1735
         0.0213         0.2019         0.1414         0.0294         0.1735         0.1735
         0.0220         0.2020         0.1414         0.0294         0.1736         0.1736
         0.0227         0.2020         0.1415         0.0294         0.1736         0.1736
         0.0233         0.2021         0.1416         0.0294         0.1737         0.1737
         0.0240         0.2021         0.1416         0.0294         0.1738         0.1737
         0.0247         0.2022         0.1417         0.0294         0.1738         0.1738
         0.0253         0.2022         0.1417         0.0294         0.1739         0.1739
         0.0260         0.2023         0.1418         0.0294         0.1739         0.1739
         0.0267         0.2023         0.1419         0.0294         0.1740         0.1740
         0.0273         0.2024         0.1419         0.0294         0.1740         0.1740
         0.0280         0.2024         0.1420         0.0294         0.1741         0.1741
         0.0287         0.2025         0.1420         0.0294         0.1742         0.1741
         0.0293         0.2025         0.1421         0.0294         0.1742         0.1742
         0.0300         0.2026         0.1422         0.0294         0.1743         0.1742
         0.0307         0.2026         0.1422         0.0294         0.1743         0.1743
         0.0313         0.2027         0.1423         0.0294         0.1744         0.1744
         0.0320         0.2028         0.1423         0.0294         0.1744         0.1744
         0.0327         0.2028         0.1424         0.0294         0.1745         0.1745
         0.0333         0.2029         0.1425         0.0294         0.1746         0.1745
         0.0340         0.2029         0.1425         0.0294         0.1746         0.1746
         0.0347         0.2030         0.1426         0.0294         0.1747         0.1746
         0.0353         0.2030         0.1426         0.0294         0.1747         0.1747
         0.0360         0.2031         0.1427         0.0294         0.1748         0.1748
         0.0367         0.2031         0.1428         0.0294         0.1748         0.1748
         0.0373         0.2032         0.1428         0.0294         0.1749         0.1749
         0.0380         0.2032         0.1429         0.0294         0.1750         0.1749
         0.0387         0.2033         0.1430         0.0294         0.1750         0.1750
         0.0393         0.2033         0.1430         0.0294         0.1751         0.1751
         0.0400         0.2034         0.1431         0.0294         0.1751         0.1751
         0.0407         0.2035         0.1431         0.0294         0.1752         0.1752
         0.0413         0.2035         0.1432         0.0294         0.1752         0.1752
         0.0420         0.2036         0.1433         0.0294         0.1753         0.1753
         0.0427         0.2036         0.1433         0.0294         0.1754         0.1753
         0.0433         0.2037         0.1434         0.0294         0.1754         0.1754
