 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         2.6199         2.1923         1.4142         0.0000         0.0000         0.0000
         0.0007         2.6203         2.1927         1.4142         0.0000         0.0000         0.0000
         0.0013         2.6207         2.1931         1.4142         0.0000         0.0000         0.0000
         0.0020         2.6211         2.1935         1.4142         0.0000         0.0000         0.0000
         0.0027         2.6214         2.1939         1.4142         0.0000         0.0000         0.0000
         0.0033         2.6218         2.1943         1.4142         0.0000         0.0000         0.0000
         0.0040         2.6222         2.1947         1.4142         0.0000         0.0000         0.0000
         0.0047         2.6225         2.1951         1.4142         0.0000         0.0000         0.0000
         0.0053         2.6229         2.1955         1.4142         0.0000         0.0000         0.0000
         0.0060         2.6233         2.1959         1.4142         0.0000         0.0000         0.0000
         0.0067         2.6237         2.1963         1.4142         0.0000         0.0000         0.0000
         0.0073         2.6240         2.1967         1.4142         0.0000         0.0000         0.0000
         0.0080         2.6244         2.1971         1.4142         0.0000         0.0000         0.0000
         0.0087         2.6248         2.1975         1.4142         0.0000         0.0000         0.0000
         0.0093         2.6252         2.1978         1.4142         0.0000         0.0000         0.0000
         0.0100         2.6256         2.1982         1.4142         0.0000         0.0000         0.0000
         0.0107         2.6259         2.1986         1.4142         0.0000         0.0000         0.0000
         0.0113         2.6263         2.1990         1.4142         0.0000         0.0000         0.0000
         0.0120         2.6267         2.1994         1.4142         0.0000         0.0000         0.0000
         0.0127         2.6271         2.1998         1.4142         0.0000         0.0000         0.0000
         0.0133         2.6274         2.2002         1.4142         0.0000         0.0000         0.0000
         0.0140         2.6278         2.2006         1.4142         0.0000         0.0000         0.0000
         0.0147         2.6282         2.2010         1.4142         0.0000         0.0000         0.0000
         0.0153         2.6286         2.2015         1.4142         0.0000         0.0000         0.0000
         0.0160         2.6290         2.2019         1.4142         0.0000         0.0000         0.0000
         0.0167         2.6293         2.2023         1.4142         0.0000         0.0000         0.0000
         0.0173         2.6297         2.2027         1.4142         0.0000         0.0000         0.0000
         0.0180         2.6301         2.2031         1.4142         0.0000         0.0000         0.0000
         0.0187         2.6305         2.2035         1.4142         0.0000         0.0000         0.0000
         0.0193         2.6309         2.2039         1.4142         0.0000         0.0000         0.0000
         0.0200         2.6313         2.2043         1.4142         0.0000         0.0000         0.0000
         0.0207         2.6316         2.2047         1.4142         0.0000         0.0000         0.0000
         0.0213         2.6320         2.2051         1.4142         0.0000         0.0000         0.0000
         0.0220         2.6324         2.2055         1.4142         0.0000         0.0000         0.0000
         0.0227         2.6328         2.2059         1.4142         0.0000         0.0000         0.0000
         0.0233         2.6332         2.2063         1.4142         0.0000         0.0000         0.0000
         0.0240         2.6336         2.2067         1.4142         0.0000         0.0000         0.0000
         0.0247         2.6340         2.2072         1.4142         0.0000         0.0000         0.0000
         0.0253         2.6343         2.2076         1.4142         0.0000         0.0000         0.0000
         0.0260         2.6347         2.2080         1.4142         0.0000         0.0000         0.0000
         0.0267         2.6351         2.2084         1.4142         0.0000         0.0000         0.0000
         0.0273         2.6355         2.2088         1.4142         0.0000         0.0000         0.0000
         0.0280         2.6359         2.2092         1.4142         0.0000         0.0000         0.0000
         0.0287         2.6363         2.2096         1.4142         0.0000         0.0000         0.0000
         0.0293         2.6367         2.2101         1.4142         0.0000         0.0000         0.0000
         0.0300         2.6371         2.2105         1.4142         0.0000         0.0000         0.0000
         0.0307         2.6374         2.2109         1.4142         0.0000         0.0000         0.0000
         0.0313         2.6378         2.2113         1.4142         0.0000         0.0000         0.0000
