 running   16 mpi-ranks, on    1 nodes
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 vasp.6.4.2 20Jul23 (build Nov 14 2023 12:59:38) complex                        
  
 POSCAR found type information on POSCAR TaNiTe
 POSCAR found :  3 types and      20 ions
 Reading from existing POTCAR
 scaLAPACK will be used
 Reading from existing POTCAR
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.660772949746E+03    0.66077E+03   -0.34256E+04  3408   0.492E+02
DAV:   2    -0.506169034711E+02   -0.71139E+03   -0.67278E+03  4324   0.155E+02
DAV:   3    -0.123465133093E+03   -0.72848E+02   -0.70655E+02  4432   0.540E+01
DAV:   4    -0.126544597980E+03   -0.30795E+01   -0.30663E+01  4392   0.110E+01
DAV:   5    -0.126620582343E+03   -0.75984E-01   -0.75962E-01  4424   0.190E+00
DAV:   6    -0.126623131988E+03   -0.25496E-02   -0.25495E-02  4536   0.302E-01
DAV:   7    -0.126623252982E+03   -0.12099E-03   -0.12099E-03  4520   0.659E-02
DAV:   8    -0.126623258914E+03   -0.59318E-05   -0.59316E-05  4512   0.128E-02
DAV:   9    -0.126623259273E+03   -0.35876E-06   -0.35883E-06  3488   0.302E-03
DAV:  10    -0.126623259295E+03   -0.21659E-07   -0.21663E-07  2656   0.884E-04
DAV:  11    -0.126623259299E+03   -0.46239E-08   -0.47877E-08  2200   0.488E-04
DAV:  12    -0.126623259302E+03   -0.23319E-08   -0.21912E-08  2112   0.332E-04    0.393E+01
DAV:  13    -0.123317768782E+03    0.33055E+01   -0.35805E+00  4456   0.140E+01    0.314E+01
DAV:  14    -0.120834290509E+03    0.24835E+01   -0.23043E+00  4608   0.445E+00    0.230E+01
DAV:  15    -0.119978505285E+03    0.85579E+00   -0.11627E+01  4120   0.114E+01    0.604E+00
DAV:  16    -0.119685931567E+03    0.29257E+00   -0.83419E-01  4308   0.285E+00    0.552E+00
DAV:  17    -0.119610855044E+03    0.75077E-01   -0.16453E-01  5120   0.291E+00    0.391E+00
DAV:  18    -0.119533048007E+03    0.77807E-01   -0.13926E-01  4440   0.287E+00    0.240E+00
DAV:  19    -0.119438550233E+03    0.94498E-01   -0.16731E-01  4392   0.174E+00    0.199E+00
DAV:  20    -0.119441785885E+03   -0.32357E-02   -0.38574E-02  3760   0.633E-01    0.152E+00
DAV:  21    -0.119425545970E+03    0.16240E-01   -0.14672E-02  4216   0.339E-01    0.163E+00
DAV:  22    -0.119422099909E+03    0.34461E-02   -0.15331E-02  4352   0.620E-01    0.138E+00
DAV:  23    -0.119422138142E+03   -0.38234E-04   -0.54560E-03  4728   0.518E-01    0.136E+00
DAV:  24    -0.119423005943E+03   -0.86780E-03   -0.28605E-03  4644   0.263E-01    0.144E+00
DAV:  25    -0.119422404313E+03    0.60163E-03   -0.11230E-03  4676   0.253E-01    0.140E+00
DAV:  26    -0.119421534631E+03    0.86968E-03   -0.78344E-04  4044   0.213E-01    0.132E+00
DAV:  27    -0.119420753524E+03    0.78111E-03   -0.42271E-04  4080   0.787E-02    0.126E+00
DAV:  28    -0.119420564043E+03    0.18948E-03   -0.94065E-05  4276   0.252E-02    0.120E+00
DAV:  29    -0.119420236191E+03    0.32785E-03   -0.89248E-05  3876   0.339E-02    0.109E+00
DAV:  30    -0.119420015545E+03    0.22065E-03   -0.46348E-05  4116   0.229E-02    0.101E+00
DAV:  31    -0.119419856911E+03    0.15863E-03   -0.20491E-05  4176   0.177E-02    0.955E-01
DAV:  32    -0.119419660131E+03    0.19678E-03   -0.30958E-05  4156   0.217E-02    0.900E-01
DAV:  33    -0.119419469456E+03    0.19067E-03   -0.33306E-05  4196   0.209E-02    0.830E-01
DAV:  34    -0.119419243567E+03    0.22589E-03   -0.54742E-05  4056   0.281E-02    0.717E-01
DAV:  35    -0.119419153654E+03    0.89912E-04   -0.18490E-05  4160   0.122E-02    0.659E-01
DAV:  36    -0.119419128271E+03    0.25384E-04   -0.17393E-06  3080   0.523E-03    0.650E-01
DAV:  37    -0.119418933779E+03    0.19449E-03   -0.61190E-05  4060   0.288E-02    0.562E-01
DAV:  38    -0.119418692390E+03    0.24139E-03   -0.18287E-04  4064   0.470E-02    0.388E-01
DAV:  39    -0.119418642279E+03    0.50111E-04   -0.39604E-05  4168   0.165E-02    0.310E-01
DAV:  40    -0.119418607035E+03    0.35244E-04   -0.99454E-06  4032   0.123E-02    0.263E-01
DAV:  41    -0.119418577597E+03    0.29438E-04   -0.13111E-05  4096   0.119E-02    0.217E-01
DAV:  42    -0.119418533883E+03    0.43714E-04   -0.53084E-05  3988   0.269E-02    0.115E-01
DAV:  43    -0.119418523686E+03    0.10198E-04   -0.31386E-05  4048   0.176E-02    0.428E-02
DAV:  44    -0.119418523312E+03    0.37329E-06   -0.61158E-06  3644   0.816E-03
   1 F= -.11941852E+03 E0= -.11941852E+03  d E =-.440743E-11
